contractor_id,contractor_name,contractor_type,specialization,country_of_origin,uae_license_no,grade,established_year,years_in_uae,completed_projects_uae,active_projects,max_capacity_sqm,preferred_developer_ids,performance_score,on_time_delivery_rate_pct,avg_cost_overrun_pct,quality_score,safety_record_score,rating,payment_terms_days,insurance_valid_until,rera_approved,blacklisted
CONT120,Pakistan Interior Group 120,Interior Fit-Out,Luxury Interior Finishing,Pakistan,DM-CONT-27680,Grade B,2004,6,8,1,45724,DEV0007,67.2,80.8,5.9,87.3,97.9,3.1,30,2028-12-31,True,False
CONT121,China MEP Group 121,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-84770,Grade A,2015,11,12,6,168676,"DEV0002,DEV0002",72.8,84.2,23.3,87.5,73.7,3.6,45,2026-12-31,True,False
CONT122,India MEP Group 122,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-38038,Grade B,2010,5,3,2,12131,"DEV0013,DEV0007",75.0,82.5,9.0,52.9,66.3,4.3,60,2027-12-31,True,False
CONT123,China MEP Group 123,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-82979,Grade B,1998,7,3,4,107532,DEV0010,81.7,76.9,3.9,73.7,76.3,4.1,60,2026-12-31,True,False
CONT124,China Façade Group 124,Façade,Curtain Wall & Cladding,China,DM-CONT-22011,Grade A,2016,2,8,2,6298,DEV0015,69.0,56.4,9.6,64.7,70.3,4.0,45,2026-12-31,True,False
CONT125,Egypt Interior Group 125,Interior Fit-Out,Luxury Interior Finishing,Egypt,DM-CONT-23621,Grade A,1994,6,2,3,13904,"DEV0020,DEV0019,DEV0018",72.4,67.4,6.7,90.8,83.9,3.1,45,2027-12-31,True,False
CONT126,UAE MEP Group 126,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-82815,Grade B,2008,17,17,2,96419,"DEV0019,DEV0013,DEV0003",66.9,58.3,0.0,65.0,84.6,2.7,90,2027-12-31,True,False
CONT127,India MEP Group 127,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-72826,Grade C,1987,27,9,9,61387,"DEV0007,DEV0019,DEV0019",85.7,62.8,9.6,84.8,90.5,3.7,45,2026-12-31,False,False
CONT128,Turkey Main Group 128,Main Contractor,High-Rise Residential,Turkey,DM-CONT-59722,Grade B,1989,21,15,5,59545,"DEV0015,DEV0011,DEV0020",65.2,53.3,0.0,50.0,90.5,3.8,30,2027-12-31,True,False
CONT129,UAE Civil Group 129,Civil,Foundations & Structural,UAE,DM-CONT-48101,Grade B,1992,8,6,1,40023,DEV0010,74.0,100.0,4.4,78.2,81.6,4.5,45,2027-12-31,True,False
CONT130,China Civil Group 130,Civil,Foundations & Structural,China,DM-CONT-82006,Grade A,2016,1,18,2,14909,"DEV0006,DEV0009,DEV0014",74.8,61.0,0.0,65.2,100.0,4.9,30,2027-12-31,True,False
CONT131,India Civil Group 131,Civil,Foundations & Structural,India,DM-CONT-97215,Grade C,2001,18,32,4,37976,"DEV0009,DEV0001",66.0,85.5,13.3,64.9,84.4,3.9,45,2028-12-31,False,False
CONT132,South Korea Landscaping Group 132,Landscaping,Hardscaping & Irrigation,South Korea,DM-CONT-52090,Grade A,1992,26,6,4,11302,"DEV0002,DEV0005",74.1,100.0,11.4,100.0,86.4,2.9,60,2027-12-31,True,False
CONT133,UAE Interior Group 133,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-72621,Grade B,2007,13,16,4,24899,"DEV0015,DEV0009,DEV0011",96.4,64.5,6.0,80.0,77.6,3.5,60,2028-12-31,True,False
CONT134,India MEP Group 134,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-81758,Grade B,2017,8,6,6,30052,"DEV0004,DEV0001,DEV0020",63.1,64.5,14.4,65.4,75.5,3.5,60,2027-12-31,True,False
CONT135,UAE Main Group 135,Main Contractor,High-Rise Residential,UAE,DM-CONT-79160,Grade B,1996,5,5,7,27046,"DEV0001,DEV0016,DEV0014",54.1,68.6,16.0,74.6,97.3,2.9,60,2027-12-31,True,False
CONT136,Egypt MEP Group 136,MEP Contractor,Mechanical Electrical Plumbing,Egypt,DM-CONT-47572,Grade B,2013,5,45,6,13874,"DEV0010,DEV0019",100.0,100.0,4.4,69.6,82.0,3.3,90,2026-12-31,True,False
CONT137,India MEP Group 137,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-69729,Grade A,2012,4,26,1,21747,"DEV0010,DEV0013",87.1,79.2,9.1,86.3,98.8,3.2,60,2026-12-31,True,False
CONT138,UK Landscaping Group 138,Landscaping,Hardscaping & Irrigation,UK,DM-CONT-87315,Grade B,2003,10,2,1,58435,DEV0013,80.8,73.4,0.0,52.0,89.9,2.5,60,2027-12-31,True,False
CONT139,Germany MEP Group 139,MEP Contractor,Mechanical Electrical Plumbing,Germany,DM-CONT-48176,Grade B,2008,8,3,4,104462,DEV0006,66.4,74.4,10.0,69.9,100.0,3.8,45,2026-12-31,True,False
CONT140,South Korea MEP Group 140,MEP Contractor,Mechanical Electrical Plumbing,South Korea,DM-CONT-93751,Grade C,2013,10,5,5,43145,"DEV0010,DEV0013",100.0,59.8,16.7,80.9,59.9,4.2,45,2027-12-31,False,False
CONT141,Pakistan MEP Group 141,MEP Contractor,Mechanical Electrical Plumbing,Pakistan,DM-CONT-36116,Grade C,1985,21,17,4,7542,"DEV0001,DEV0016,DEV0007",54.3,76.0,8.2,68.8,51.2,3.5,90,2026-12-31,False,False
CONT142,UK Façade Group 142,Façade,Curtain Wall & Cladding,UK,DM-CONT-75834,Grade A,2014,7,3,1,87541,"DEV0008,DEV0018",60.8,96.8,16.5,61.0,89.3,4.0,60,2026-12-31,True,False
CONT143,India Landscaping Group 143,Landscaping,Hardscaping & Irrigation,India,DM-CONT-57427,Grade B,2006,7,13,4,42049,"DEV0009,DEV0004",77.9,69.3,7.8,79.6,58.4,4.3,30,2028-12-31,True,False
CONT144,Turkey Main Group 144,Main Contractor,High-Rise Residential,Turkey,DM-CONT-54023,Grade C,1996,1,6,2,65889,DEV0010,91.8,69.8,7.5,74.4,75.3,4.0,90,2028-12-31,False,False
CONT145,Pakistan Main Group 145,Main Contractor,High-Rise Residential,Pakistan,DM-CONT-82669,Grade B,1994,19,3,2,67587,"DEV0020,DEV0001",61.3,70.0,19.4,69.5,61.8,3.7,30,2027-12-31,True,False
CONT146,India Civil Group 146,Civil,Foundations & Structural,India,DM-CONT-37299,Grade B,2015,5,12,2,66132,DEV0013,62.2,56.0,13.9,79.9,63.2,3.9,45,2027-12-31,True,False
CONT147,UK Civil Group 147,Civil,Foundations & Structural,UK,DM-CONT-83853,Grade A,1991,18,23,1,256945,"DEV0006,DEV0009,DEV0013",63.4,84.8,8.9,71.8,79.7,3.5,30,2026-12-31,True,False
CONT148,India Interior Group 148,Interior Fit-Out,Luxury Interior Finishing,India,DM-CONT-96607,Grade C,1991,20,8,2,33326,DEV0010,98.4,69.8,11.8,69.8,86.9,3.8,30,2028-12-31,False,False
CONT149,India Façade Group 149,Façade,Curtain Wall & Cladding,India,DM-CONT-81121,Grade C,2015,4,10,2,11799,"DEV0009,DEV0006",70.9,37.2,0.0,69.9,63.9,4.4,45,2027-12-31,False,False
CONT150,China Façade Group 150,Façade,Curtain Wall & Cladding,China,DM-CONT-48927,Grade B,1997,8,3,1,26346,"DEV0006,DEV0006",74.3,63.3,0.0,77.6,85.2,4.2,60,2027-12-31,True,False
CONT151,UAE Civil Group 151,Civil,Foundations & Structural,UAE,DM-CONT-18516,Grade B,1991,13,4,3,178607,DEV0016,62.8,70.3,11.4,89.2,65.1,5.0,45,2027-12-31,True,False
CONT152,UAE Main Group 152,Main Contractor,High-Rise Residential,UAE,DM-CONT-25496,Grade A,2017,5,2,4,123007,"DEV0016,DEV0009,DEV0002",60.0,55.1,13.8,80.7,62.1,3.0,45,2027-12-31,True,False
CONT153,UAE MEP Group 153,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-74716,Grade B,2010,16,8,3,9834,"DEV0014,DEV0002,DEV0008",45.5,58.9,17.3,71.9,75.7,3.4,60,2026-12-31,True,False
CONT154,Egypt Main Group 154,Main Contractor,High-Rise Residential,Egypt,DM-CONT-80188,Grade B,2014,8,16,9,71484,"DEV0001,DEV0004,DEV0015",93.8,72.5,4.7,93.4,55.8,4.4,45,2027-12-31,True,False
CONT155,UAE Civil Group 155,Civil,Foundations & Structural,UAE,DM-CONT-73187,Grade C,2002,19,20,6,92888,DEV0015,66.9,85.4,0.9,97.3,79.7,2.9,45,2028-12-31,False,True
CONT156,Turkey Façade Group 156,Façade,Curtain Wall & Cladding,Turkey,DM-CONT-78286,Grade B,1997,19,12,7,44459,"DEV0015,DEV0015,DEV0016",86.9,55.9,13.3,59.1,86.2,3.8,60,2026-12-31,True,False
CONT157,China Façade Group 157,Façade,Curtain Wall & Cladding,China,DM-CONT-50271,Grade A,2019,1,6,9,49705,"DEV0001,DEV0002",100.0,39.3,6.5,84.0,93.1,3.7,45,2027-12-31,True,False
CONT158,UAE Interior Group 158,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-54572,Grade A,1993,7,18,8,74669,"DEV0003,DEV0009",56.5,65.6,4.2,57.5,73.8,3.6,30,2028-12-31,True,False
CONT159,India Façade Group 159,Façade,Curtain Wall & Cladding,India,DM-CONT-38520,Grade C,1987,10,39,3,9826,"DEV0020,DEV0018",62.8,74.9,10.8,90.0,61.2,3.9,30,2028-12-31,False,False
CONT160,China MEP Group 160,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-70241,Grade A,2012,10,13,1,64473,DEV0002,76.8,87.2,10.0,86.8,84.9,3.8,60,2026-12-31,True,False
CONT161,China MEP Group 161,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-61504,Grade B,2007,10,3,2,129157,"DEV0003,DEV0010",59.5,67.6,9.2,71.4,83.2,3.3,60,2027-12-31,True,False
CONT162,China Main Group 162,Main Contractor,High-Rise Residential,China,DM-CONT-45357,Grade B,2004,9,12,7,71810,DEV0010,78.1,72.4,9.9,70.8,59.7,2.5,30,2027-12-31,True,False
CONT163,China Civil Group 163,Civil,Foundations & Structural,China,DM-CONT-76459,Grade A,2001,19,1,3,173850,"DEV0005,DEV0011",57.8,48.8,8.0,68.5,83.3,3.7,30,2027-12-31,True,False
CONT164,China MEP Group 164,MEP Contractor,Mechanical Electrical Plumbing,China,DM-CONT-37674,Grade B,2017,6,17,2,20364,"DEV0014,DEV0012",58.0,86.7,14.6,67.7,86.9,2.6,90,2026-12-31,True,False
CONT165,South Korea Main Group 165,Main Contractor,High-Rise Residential,South Korea,DM-CONT-68244,Grade B,1999,23,44,2,56496,"DEV0003,DEV0017",85.9,65.8,14.0,84.5,81.8,4.3,45,2028-12-31,True,False
CONT166,Turkey Civil Group 166,Civil,Foundations & Structural,Turkey,DM-CONT-86925,Grade B,2003,7,19,4,24043,DEV0001,80.1,81.6,2.5,74.7,88.6,3.2,90,2027-12-31,True,False
CONT167,India Landscaping Group 167,Landscaping,Hardscaping & Irrigation,India,DM-CONT-54488,Grade C,1991,16,18,14,25148,"DEV0004,DEV0018,DEV0001",76.8,59.4,17.6,63.3,50.0,4.6,45,2028-12-31,False,False
CONT168,Turkey MEP Group 168,MEP Contractor,Mechanical Electrical Plumbing,Turkey,DM-CONT-25027,Grade B,2011,4,7,4,125318,"DEV0008,DEV0002,DEV0005",67.4,47.3,2.7,64.5,92.3,3.8,45,2026-12-31,True,False
CONT169,South Korea Façade Group 169,Façade,Curtain Wall & Cladding,South Korea,DM-CONT-70957,Grade C,2016,10,12,2,41839,"DEV0002,DEV0012",47.2,69.6,9.9,77.2,75.3,3.7,60,2026-12-31,False,False
CONT170,China Façade Group 170,Façade,Curtain Wall & Cladding,China,DM-CONT-12128,Grade A,1989,27,3,9,10469,"DEV0014,DEV0019",62.0,77.4,16.9,93.5,98.8,4.4,30,2026-12-31,True,False
CONT171,UAE Main Group 171,Main Contractor,High-Rise Residential,UAE,DM-CONT-31691,Grade B,2017,1,6,1,271212,"DEV0013,DEV0020",94.4,96.4,1.1,74.2,78.9,3.5,60,2026-12-31,True,False
CONT172,China Main Group 172,Main Contractor,High-Rise Residential,China,DM-CONT-51396,Grade B,1995,24,16,4,19261,"DEV0008,DEV0006,DEV0012",85.3,72.8,10.4,60.8,88.4,4.0,30,2028-12-31,True,False
CONT173,UAE Interior Group 173,Interior Fit-Out,Luxury Interior Finishing,UAE,DM-CONT-13739,Grade B,1999,10,62,1,39603,"DEV0011,DEV0001,DEV0015",66.0,100.0,0.5,73.3,81.9,3.8,60,2026-12-31,True,False
CONT174,India Civil Group 174,Civil,Foundations & Structural,India,DM-CONT-58734,Grade B,2016,7,8,1,22499,DEV0007,59.7,55.0,7.1,80.1,76.4,4.2,30,2028-12-31,True,False
CONT175,India MEP Group 175,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-45508,Grade B,1990,16,24,11,67067,"DEV0017,DEV0008,DEV0004",71.2,54.5,6.5,66.4,90.1,3.2,30,2026-12-31,True,False
CONT176,India Civil Group 176,Civil,Foundations & Structural,India,DM-CONT-44132,Grade C,2006,8,45,2,36964,DEV0008,100.0,83.2,7.5,65.3,83.7,4.1,60,2028-12-31,False,False
CONT177,India Façade Group 177,Façade,Curtain Wall & Cladding,India,DM-CONT-70380,Grade B,2007,16,13,5,65630,"DEV0007,DEV0003,DEV0013",86.4,56.4,10.5,67.8,85.3,3.5,30,2026-12-31,True,False
CONT178,Egypt Interior Group 178,Interior Fit-Out,Luxury Interior Finishing,Egypt,DM-CONT-93696,Grade A,2011,13,10,1,49719,"DEV0002,DEV0018,DEV0001",77.7,61.1,11.8,77.6,84.4,3.0,60,2027-12-31,True,False
CONT179,China Civil Group 179,Civil,Foundations & Structural,China,DM-CONT-11796,Grade B,1994,1,22,3,18664,"DEV0004,DEV0018,DEV0003",53.2,74.6,18.7,78.4,74.4,3.7,45,2027-12-31,True,False
CONT180,Germany Interior Group 180,Interior Fit-Out,Luxury Interior Finishing,Germany,DM-CONT-50291,Grade C,2012,12,3,1,61453,DEV0019,68.9,77.6,18.1,58.4,74.5,3.5,90,2028-12-31,False,False
CONT181,Turkey Main Group 181,Main Contractor,High-Rise Residential,Turkey,DM-CONT-81500,Grade C,1993,3,9,3,136413,"DEV0015,DEV0020,DEV0005",70.5,83.7,1.4,76.3,78.2,3.1,30,2026-12-31,False,False
CONT182,UK MEP Group 182,MEP Contractor,Mechanical Electrical Plumbing,UK,DM-CONT-26564,Grade A,2001,10,12,11,68141,"DEV0002,DEV0018,DEV0003",72.3,59.0,0.1,66.7,89.6,3.6,30,2026-12-31,True,False
CONT183,UK Interior Group 183,Interior Fit-Out,Luxury Interior Finishing,UK,DM-CONT-31021,Grade B,2006,11,37,1,204490,DEV0011,84.6,79.6,4.3,55.6,77.2,3.5,90,2028-12-31,True,False
CONT184,UK Façade Group 184,Façade,Curtain Wall & Cladding,UK,DM-CONT-92128,Grade B,2004,10,2,14,126594,DEV0016,76.0,67.2,10.8,80.9,69.7,4.0,60,2026-12-31,True,False
CONT185,UAE Façade Group 185,Façade,Curtain Wall & Cladding,UAE,DM-CONT-76454,Grade B,1998,14,1,6,151586,"DEV0020,DEV0005",71.5,80.9,10.4,75.0,73.3,4.7,60,2027-12-31,True,False
CONT186,China Civil Group 186,Civil,Foundations & Structural,China,DM-CONT-39080,Grade B,2005,5,6,1,5799,"DEV0015,DEV0013",57.3,47.0,6.4,73.7,77.5,3.6,45,2028-12-31,True,False
CONT187,Egypt Interior Group 187,Interior Fit-Out,Luxury Interior Finishing,Egypt,DM-CONT-28643,Grade C,2000,1,12,10,26306,"DEV0007,DEV0004",71.2,58.9,0.0,56.9,83.8,2.8,45,2027-12-31,False,False
CONT188,India Main Group 188,Main Contractor,High-Rise Residential,India,DM-CONT-44286,Grade B,1994,18,28,1,85285,DEV0003,61.4,63.7,7.5,66.1,73.8,4.1,60,2026-12-31,True,False
CONT189,India Civil Group 189,Civil,Foundations & Structural,India,DM-CONT-81580,Grade B,2017,6,10,7,81188,DEV0013,69.0,80.6,19.9,75.2,67.1,3.6,60,2027-12-31,True,False
CONT190,Turkey Landscaping Group 190,Landscaping,Hardscaping & Irrigation,Turkey,DM-CONT-35828,Grade A,2007,6,12,2,27205,"DEV0018,DEV0006,DEV0008",70.2,43.7,1.6,87.3,58.3,4.7,60,2026-12-31,True,False
CONT191,UAE Façade Group 191,Façade,Curtain Wall & Cladding,UAE,DM-CONT-48150,Grade A,2000,25,27,3,58315,DEV0001,67.8,84.1,19.7,60.4,71.6,3.8,60,2028-12-31,True,False
CONT192,UAE Civil Group 192,Civil,Foundations & Structural,UAE,DM-CONT-89469,Grade B,2015,11,11,1,19359,"DEV0010,DEV0019,DEV0019",81.0,52.5,14.4,81.0,78.4,4.4,30,2026-12-31,True,False
CONT193,Germany Interior Group 193,Interior Fit-Out,Luxury Interior Finishing,Germany,DM-CONT-64545,Grade B,2004,7,7,4,34613,DEV0020,100.0,48.5,0.0,73.0,57.6,5.0,45,2026-12-31,True,False
CONT194,UK Landscaping Group 194,Landscaping,Hardscaping & Irrigation,UK,DM-CONT-74247,Grade B,1999,26,69,3,11292,DEV0020,81.7,75.9,0.0,88.7,65.1,3.7,45,2027-12-31,True,False
CONT195,India MEP Group 195,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-45816,Grade C,1999,14,22,2,7026,"DEV0015,DEV0017,DEV0019",66.3,66.6,7.2,69.1,76.3,3.5,45,2028-12-31,False,False
CONT196,UAE Façade Group 196,Façade,Curtain Wall & Cladding,UAE,DM-CONT-11241,Grade A,2006,1,6,2,140206,DEV0017,68.7,36.2,6.4,70.5,93.4,4.0,90,2028-12-31,True,False
CONT197,UAE MEP Group 197,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-24980,Grade A,2003,12,27,3,44388,DEV0019,44.0,86.6,17.1,93.6,84.5,3.6,45,2026-12-31,True,False
CONT198,India Façade Group 198,Façade,Curtain Wall & Cladding,India,DM-CONT-22957,Grade C,1999,9,16,3,104598,"DEV0007,DEV0013,DEV0009",77.8,87.4,5.2,75.5,83.1,4.0,45,2026-12-31,False,False
CONT199,Turkey MEP Group 199,MEP Contractor,Mechanical Electrical Plumbing,Turkey,DM-CONT-39059,Grade A,1985,28,31,6,137178,DEV0007,90.6,51.8,10.1,93.3,80.8,4.0,60,2026-12-31,True,False
CONT200,UAE Main Group 200,Main Contractor,High-Rise Residential,UAE,DM-CONT-45016,Grade B,1986,19,12,8,64047,DEV0001,87.8,94.7,13.2,62.7,75.2,3.8,45,2028-12-31,True,False
