ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
AE-0213,heliport,Offshore Helipad,,AS,AE,AE-AZ,,,,,,"24.805235, 53.726433"
AE-0214,heliport,Offshore Helipad,,AS,AE,AE-AZ,,,,,,"24.780052, 53.673363"
AE-0215,heliport,Offshore Helipad,,AS,AE,AE-AZ,,,,,,"24.897336, 53.722265"
AE-0216,heliport,Zakum Central Supercomplex,,AS,AE,AE-AZ,,,,,,"24.859981, 53.697631"
AE-0217,heliport,Offshore Helipad,,AS,AE,AE-AZ,,,,,,"24.902908, 53.718284"
AE-0218,heliport,Al Dhannah Police Heliport,33.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.097556, 52.652299"
AE-0219,heliport,Al Dhannah Military Heliport,26.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.101299, 52.649735"
AE-0220,heliport,Andaz Capital Gate Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.418764, 54.43482"
AE-0221,medium_airport,Sas Al Nakheel Air Base,14.0,AS,AE,AE-AZ,Sas Al Nakheel,OMNK,,OMNK,,"24.44128, 54.51696"
AE-0222,heliport,President Joko Widodo Mosque Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.422771, 54.436072"
AE-0223,heliport,Marina/ADNEC Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.416929, 54.433781"
AE-0224,heliport,SkyDive Dubai Heliport,3.0,AS,AE,AE-DU,Dubai,,,,,"25.091723, 55.134606"
AE-0226,closed,Ras al Khaimah Al Hamra Seaplane Base,,AS,AE,AE-RK,Ras Al Khaimah,,,,,"25.691, 55.778"
AE-0227,closed,Umm Al Quwain Airport,,AS,AE,AE-UQ,Meshara,,,,,"25.57715, 55.65068"
AE-0228,closed,Asab Airfield,,AS,AE,AE-AZ,Asab,,,,,"23.297616, 54.221691"
AE-0229,heliport,Dubai Jetman Helipad,518.0,AS,AE,AE-DU,,,,,,"24.904402, 55.538491"
AE-0230,heliport,Zayed Military Hospital Heliport,976.0,AS,AE,AE-AZ,Al Ain,,,,,"24.18459, 55.780014"
AE-0231,heliport,Zayed Military College,1010.0,AS,AE,AE-AZ,Al Ain,,,,,"24.150273, 55.787056"
AE-0232,closed,Dubai Creek Seaplane Base,,AS,AE,AE-DU,Dubai,,,,,"25.242222, 55.331389"
AE-0233,heliport,Abdullah bin Omran Hospital Helipad,54.0,AS,AE,AE-RK,Muwailha,,,,ABOH,"25.646182, 55.957911"
AE-0234,heliport,Julphar West Tower Helistop,621.0,AS,AE,AE-RK,"Al Jawais,",,,,,"25.791455, 55.959487"
AE-0235,heliport,Julphar East Tower Helistop,621.0,AS,AE,AE-RK,Al Jawais,,,,,"25.791259, 55.960147"
AE-0236,heliport,Al Hamra Heliport,5.0,AS,AE,AE-RK,Nad Al Sili,,,,,"25.68227, 55.77373"
AE-0237,seaplane_base,Dubai Seaplane Terminal,0.0,AS,AE,AE-DU,,,DST,,,"25.263, 55.272"
AE-0238,heliport,Makasib Island Heliport,7.0,AS,AE,AE-AZ,Makasib,,,,,"24.66278, 51.82135"
AE-0240,heliport,Umm al Ghumaghin Heliport,16.0,AS,AE,AE-AZ,Ras Ghumais,,,,,"24.38398, 51.57804"
AE-0241,heliport,Huwaysat Island Heliport,20.0,AS,AE,AE-AZ,Huwaysat,,,,,"24.39349, 51.50262"
AE-0242,heliport,Ghagha Heliport,26.0,AS,AE,AE-AZ,Ghagha,,,,,"24.40456, 51.53504"
AE-0243,heliport,Mediclinic Middle East Marawah Branch Heliport,10.0,AS,AE,AE-AZ,Barakah,,,,,"23.97016, 52.25579"
AE-0244,heliport,Al Hamra Southwest Heliport,23.0,AS,AE,AE-AZ,Al Hamra,,,,,"24.03618, 52.405671"
AE-0245,heliport,Al Hamra Administrative Heliport,23.0,AS,AE,AE-AZ,Al Hamra,,,,,"24.040014, 52.412834"
AE-0246,heliport,Al Hamra Search and Rescue Helibase,20.0,AS,AE,AE-AZ,Al Hamra,,,,,"24.044835, 52.413874"
AE-0247,heliport,Al Hamra South Heliport,23.0,AS,AE,AE-AZ,Al Hamra,,,,,"24.041152, 52.418277"
AE-0248,heliport,Ruwais Palace Heliport,121.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.088167, 52.629706"
AE-0249,heliport,Lake Ruwais Heliport,49.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.088839, 52.647216"
AE-0250,heliport,ERC Emergency Response Center Heliport,23.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.1132, 52.60845"
AE-0251,heliport,Al Dhannah Defense Base Heliport,52.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.060193, 52.721389"
AE-0252,heliport,Al Sila Helport,135.0,AS,AE,AE-AZ,Al Sila,,,,,"24.083354, 51.759242"
AE-0253,heliport,Urwa bin Masood Mosque Heliport,33.0,AS,AE,AE-AZ,Al Dhannah,,,,,"24.16861, 52.63127"
AE-0254,heliport,Al Mirfa Hotel Heliport,23.0,AS,AE,AE-AZ,Al Mirfa,,,,,"24.09959, 53.47776"
AE-0255,heliport,Mughaira Palace Heliport,33.0,AS,AE,AE-AZ,Al Mirfa,,,,,"24.07724, 53.53983"
AE-0256,heliport,Tarif Police Station Heliport,49.0,AS,AE,AE-AZ,Tarif,,,,,"24.05365, 53.76486"
AE-0257,heliport,Tarif Military Heliport,16.0,AS,AE,AE-AZ,Tarif,,,,,"24.03914, 53.7801"
AE-0258,heliport,Al Nouf Heliport,13.0,AS,AE,AE-AZ,Al Nouf,,,,,"24.30812, 54.14797"
AE-0259,heliport,Abu Al Abyad Heliport,3.0,AS,AE,AE-AZ,Abu Al Abyad,,,,,"24.17493, 54.00593"
AE-0260,heliport,Al Maya Island and Resort Heliport,10.0,AS,AE,AE-AZ,Al Maya,,,,,"24.40932, 54.25488"
AE-0261,heliport,Paf Island Heliport,3.0,AS,AE,AE-AZ,Qirqishan,,,,,"24.44278, 54.25842"
AE-0262,heliport,Al Muqatra Military Heliport,89.0,AS,AE,AE-AZ,Al Muqatra,,,,,"24.22575, 54.47699"
AE-0263,heliport,Mureeb Dune Heliport,259.0,AS,AE,AE-AZ,Mzeer'ah,,,,,"22.97376, 53.78831"
AE-0264,heliport,Al Hosn Gas Village Heliport,279.0,AS,AE,AE-AZ,Bateen Liwa,,,,,"22.9478, 54.0823"
AE-0265,heliport,Liwa Hospital Heliport,410.0,AS,AE,AE-AZ,Mzeer'ah,,,,,"23.14797, 53.79833"
AE-0266,heliport,Saadiyat Beach Palace Private Heliport,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.53703, 54.41742"
AE-0267,heliport,Manarat Al Saadiyat Heliport,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.535597, 54.418743"
AE-0268,heliport,Zayed National Museum Heliport,20.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.52959, 54.40884"
AE-0269,heliport,Layali Ramadan Heliport,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.53567, 54.41537"
AE-0270,heliport,Saadiyat Beach Golf Club Private Heliport,16.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.54854, 54.4396"
AE-0271,heliport,Saadiyat Beach Heliport,10.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.55434, 54.4457"
AE-0272,heliport,Saadiyat Beach North Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.58722, 54.47466"
AE-0273,heliport,Ras Al Mohsana Island Heliport,3.0,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.59463, 54.47284"
AE-0274,heliport,Jubail Island Heliport,3.0,AS,AE,AE-AZ,Al Jubail Island,,,,,"24.535678, 54.489029"
AE-0275,heliport,Yas Island Beach Heliport,7.0,AS,AE,AE-AZ,Yas Island,,,,,"24.50668, 54.58838"
AE-0276,heliport,Ghanadhah Heliport,7.0,AS,AE,AE-AZ,Ghanadhah,,,,,"24.83368, 54.75527"
AE-0277,closed,Dubai Natural Gas Heliport,3.0,AS,AE,AE-DU,Jebel Ali,,,,,"25.02167, 55.0788"
AE-0278,heliport,Dubai Electricity and Water Authority Jebel Ali Power Station Heliport,13.0,AS,AE,AE-DU,Jebel Ali,,,,,"25.06907, 55.12303"
AE-0279,heliport,Dubai Ruler's Divan Heliport,,AS,AE,AE-DU,Dubai,,,,,"25.264837, 55.298631"
AE-0280,heliport,Cameron Garden Heliport,7.0,AS,AE,AE-DU,Dubai,,,,,"25.26536, 55.29884"
AE-0281,heliport,Al Raha Heliport,3.0,AS,AE,AE-RK,Al Riffa,,,,,"25.72008, 55.83235"
AYM,seaplane_base,Yas Island Seaplane Base,0.0,AS,AE,AE-AZ,Abu Dhabi,,AYM,,,"24.467, 54.6103"
OM11,small_airport,Abu Dhabi Northeast Airport - Suweihan Air Base,88.0,AS,AE,AE-AZ,Abu Dhabi,OMAW,,OMAW,,"24.526793, 54.974812"
OMAA,large_airport,Zayed International Airport,88.0,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,OMAA,,"24.440966, 54.649237"
OMAB,small_airport,Buhasa Airport,,AS,AE,AE-AZ,,OMAB,,OMAB,,"23.599701, 53.379398"
OMAD,large_airport,Al Bateen Executive Airport,16.0,AS,AE,AE-AZ,Abu Dhabi,OMAD,AZI,OMAD,,"24.427062, 54.459866"
OMAF,small_airport,Futaysi Airport,101.0,AS,AE,AE-AZ,Al Futaisi,OMAF,,OMAF,,"24.378768, 54.316025"
OMAG,small_airport,KIZAD Airport,50.0,AS,AE,AE-AZ,,,,OMAG,,"24.726505, 54.832259"
OMAH,small_airport,Al Hamra Auxiliary Airport,50.0,AS,AE,AE-AZ,Al Shuweihat,OMAH,,OMAH,,"24.073999, 52.4636"
OMAJ,small_airport,Jebel Dhanna Airport,43.0,AS,AE,AE-AZ,Jebel Dhanna,OMAJ,,OMAJ,,"24.187755, 52.613934"
OMAL,large_airport,Al Ain International Airport,869.0,AS,AE,AE-AZ,Al Ain,OMAL,AAN,OMAL,,"24.2617, 55.6092"
OMAM,medium_airport,Al Dhafra Air Base,77.0,AS,AE,AE-AZ,,OMAM,DHF,OMAM,,"24.248199462900004, 54.547698974599996"
OMAQ,small_airport,Qarnayn Airport,,AS,AE,AE-AZ,Qarnayn Island,OMAQ,,OMAQ,,"24.930599, 52.855099"
OMAR,small_airport,Arzanah Airport,15.0,AS,AE,AE-AZ,Arzanah Island,OMAR,,OMAR,,"24.780872, 52.559871"
OMAS,small_airport,Das Island Airport,12.0,AS,AE,AE-AZ,Das Island,OMAS,,OMAS,,"25.138234, 52.874429"
OMAZ,small_airport,Zirku Airport,14.0,AS,AE,AE-AZ,Zirku Island,OMAZ,,OMAZ,,"24.862492, 53.077141"
OMBY,medium_airport,Sir Bani Yas Airport,25.0,AS,AE,AE-AZ,Sir Bani Yas,OMBY,XSB,OMBY,OMBY,"24.283611, 52.580278"
OMDB,large_airport,Dubai International Airport,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,OMDB,,"25.24979, 55.370992"
OMDL,small_airport,Delma Airport,30.0,AS,AE,AE-AZ,Delma Island,OMDL,ZDY,OMDL,,"24.51, 52.3352"
OMDM,medium_airport,Al Minhad Air Base,165.0,AS,AE,AE-DU,Dubai,OMDM,NHD,OMDM,,"25.0268001556, 55.3661994934"
OMDW,large_airport,Al Maktoum International Airport,114.0,AS,AE,AE-DU,Dubai(Jebel Ali),OMDW,DWC,OMDW,,"24.896171, 55.16235"
OMEF,small_airport,Emirates Falcons Aeroclub Airport,908.0,AS,AE,AE-AZ,Al Ain,,,OMEF,,"24.46611, 55.625"
OMFJ,large_airport,Fujairah International Airport,152.0,AS,AE,AE-FU,Fujairah,OMFJ,FJR,OMFJ,,"25.108411, 56.328061"
OMRJ,small_airport,Jazirah Airport,,AS,AE,AE-RK,,OMRJ,,OMRJ,OMRJ,"25.664957, 55.774413"
OMRK,large_airport,Ras Al Khaimah International Airport,102.0,AS,AE,AE-RK,Ras Al Khaimah,OMRK,RKT,OMRK,,"25.613501, 55.938801"
OMRS,small_airport,Al Saqr Field,2.0,AS,AE,AE-RK,Al Duhaisah,OMRS,,OMRS,,"25.752944, 55.959234"
OMSJ,large_airport,Sharjah International Airport,111.0,AS,AE,AE-SH,Sharjah,OMSJ,SHJ,OMSJ,,"25.3286, 55.5172"
OMSN,small_airport,Sir Abu Nu'ayr Airport,13.0,AS,AE,AE-SH,Sir Abu Nu'ayr,,,OMSN,,"25.21679, 54.233447"
