project_id,project_name,developer,area,project_type,total_units,sold_units,sold_percentage,launch_year,completion_year,status,avg_price_per_sqft_aed,min_price_aed,max_price_aed,floors,has_amenities,is_freehold
PRJ-00408,Seven Discovery Tower 6,Seven Tides,Discovery Gardens,Commercial,654,453,69.3,2020,2023.0,Completed,3668,1462215,8439823,27,True,False
PRJ-00409,Ellington Downtown Tower 6,Ellington Properties,Downtown Dubai,Residential,711,449,63.2,2019,,Off-Plan,2085,367765,4578876,8,True,False
PRJ-00410,Danube Dubai Tower 6,Danube Properties,Dubai Hills Estate,Residential,1494,1213,81.2,2011,,Under Construction,3436,742594,6173781,68,False,True
PRJ-00411,Al Residences 4,Aldar,Al Wasl,Residential,344,261,76.1,2019,,Off-Plan,1750,643521,8213348,79,True,True
PRJ-00412,Palm Residences 6,Tiger Properties,Palm Jumeirah,Residential,1994,874,43.8,2006,,Under Construction,4216,372514,3221153,43,True,True
PRJ-00413,Select JVC Tower 9,Select Group,JVC,Residential,731,253,34.7,2014,,Off-Plan,4114,573117,15662519,41,True,True
PRJ-00414,Al Residences 17,Nakheel,Al Qusais,Residential,1602,343,21.4,2016,,Under Construction,2849,637743,8473279,61,True,True
PRJ-00415,Sports Residences 11,Aldar,Sports City,Hospitality,1293,950,73.5,2019,,Under Construction,2276,1061936,13912476,69,False,True
PRJ-00416,Binghatti International Tower 1,Binghatti,International City,Residential,669,416,62.3,2006,2009.0,Completed,960,799715,23192334,27,False,False
PRJ-00417,Danube DIFC Tower 8,Danube Properties,DIFC,Residential,510,285,55.9,2023,,Stalled,1159,344814,10806817,44,False,True
PRJ-00418,Nad Residences 3,Nakheel,Nad Al Sheba,Residential,1702,1611,94.7,2023,,Under Construction,3242,1401142,19574719,79,True,True
PRJ-00419,Aldar Discovery Tower 1,Aldar,Discovery Gardens,Residential,237,221,93.6,2018,2023.0,Completed,1439,411585,3297617,16,True,True
PRJ-00420,Seven Emaar Tower 8,Seven Tides,Emaar Beachfront,Residential,1456,1050,72.2,2020,2024.0,Completed,3266,1178819,15197469,48,True,True
PRJ-00421,Al Residences 18,Danube Properties,Al Satwa,Commercial,1377,418,30.4,2018,,Under Construction,3335,777392,6143605,71,True,True
PRJ-00422,Jumeirah Residences 8,Sobha Realty,Jumeirah,Residential,1009,599,59.4,2022,,Stalled,2139,1461282,6027135,50,True,False
PRJ-00423,Emaar Al Tower 6,Emaar Properties,Al Satwa,Residential,1402,704,50.3,2022,,Off-Plan,2524,1214028,5424327,28,True,True
PRJ-00424,Al Residences 20,MAG Property Development,Al Qusais,Mixed Use,134,85,63.8,2013,2017.0,Completed,4394,384125,4018673,41,True,True
PRJ-00425,Reportage Al Tower 9,Reportage,Al Barsha,Commercial,341,338,99.1,2016,2019.0,Completed,3108,387922,15090079,10,False,False
PRJ-00426,Seven Al Tower 4,Seven Tides,Al Safa,Residential,1204,1134,94.3,2016,,Under Construction,3745,875553,19708697,14,False,True
PRJ-00427,Al Residences 5,Azizi Developments,Al Wasl,Commercial,1438,916,63.8,2009,2014.0,Completed,2364,305329,24469956,77,False,True
PRJ-00428,Ellington Downtown Tower 8,Ellington Properties,Downtown Dubai,Residential,1200,802,66.9,2013,2016.0,Completed,3832,995550,15215915,60,True,True
PRJ-00429,Arabian Residences 14,Arada,Arabian Ranches,Mixed Use,1866,1298,69.6,2008,2012.0,Completed,3310,1464847,23462232,54,False,False
PRJ-00430,Mirdif Residences 15,Binghatti,Mirdif,Residential,1533,1436,93.7,2007,,Off-Plan,2287,635272,8090047,76,False,True
PRJ-00431,Tiger Dubai Tower 5,Tiger Properties,Dubai Hills Estate,Mixed Use,148,96,65.0,2009,,Off-Plan,1404,1294601,23773730,50,True,True
PRJ-00432,DIFC Residences 17,Select Group,DIFC,Residential,192,118,61.6,2009,,Under Construction,3736,1220362,5008694,56,True,False
PRJ-00433,Emaar Arabian Tower 2,Emaar Properties,Arabian Ranches,Commercial,251,151,60.4,2016,2021.0,Completed,2161,353800,23337797,35,True,True
PRJ-00434,Sobha DIFC Tower 4,Sobha Realty,DIFC,Residential,1938,1928,99.5,2024,2028.0,Completed,3127,1301027,23357494,34,True,True
PRJ-00435,MAG Al Tower 4,MAG Property Development,Al Karama,Mixed Use,930,915,98.4,2016,2020.0,Completed,1288,639607,7652208,32,True,True
PRJ-00436,Omniyat Al Tower 3,Omniyat,Al Barsha,Mixed Use,1840,1728,94.0,2010,2014.0,Completed,862,531048,15298306,24,True,True
PRJ-00437,Deyaar Emaar Tower 7,Deyaar Development,Emaar Beachfront,Residential,1478,942,63.8,2006,2010.0,Completed,1029,417940,8714324,18,True,True
PRJ-00438,Al Residences 2,Deyaar Development,Al Safa,Residential,1330,755,56.8,2024,,Off-Plan,2411,973646,4688690,30,False,True
PRJ-00439,Select Emaar Tower 9,Select Group,Emaar Beachfront,Mixed Use,1177,1044,88.8,2013,,Off-Plan,3340,1294227,19841178,61,True,True
PRJ-00440,Sports Residences 13,Seven Tides,Sports City,Residential,1783,1223,68.6,2014,,Under Construction,1019,1333160,9088938,73,True,True
PRJ-00441,Al Residences 14,Select Group,Al Satwa,Mixed Use,1310,295,22.5,2014,,Under Construction,1511,820012,13415408,52,True,True
PRJ-00442,Nakheel Ras Tower 9,Nakheel,Ras Al Khor,Residential,819,295,36.1,2014,,Under Construction,3292,889771,23151550,71,False,True
PRJ-00443,Umm Residences 3,Azizi Developments,Umm Suqeim,Residential,585,532,91.1,2009,2013.0,Completed,1178,409826,24910635,33,False,False
PRJ-00444,Arada International Tower 1,Arada,International City,Residential,817,788,96.5,2017,2019.0,Completed,2085,831719,6552643,40,True,True
PRJ-00445,International Residences 2,Sobha Realty,International City,Residential,863,230,26.7,2019,,Off-Plan,1977,912381,3942807,9,False,True
PRJ-00446,Seven Al Tower 8,Seven Tides,Al Satwa,Hospitality,294,239,81.3,2013,2017.0,Completed,4296,586229,3871038,68,True,False
PRJ-00447,Omniyat Ras Tower 8,Omniyat,Ras Al Khor,Mixed Use,280,154,55.2,2021,,Under Construction,3731,886105,3529587,61,False,True
PRJ-00448,Reportage Al Tower 4,Reportage,Al Quoz,Residential,87,77,89.4,2009,,Off-Plan,3286,1110513,20184676,20,True,True
PRJ-00449,Emaar Al Tower 5,Emaar Properties,Al Qusais,Mixed Use,1882,1301,69.2,2017,2022.0,Completed,3172,942919,22566953,43,True,True
PRJ-00450,Ellington Ras Tower 6,Ellington Properties,Ras Al Khor,Commercial,71,16,23.2,2020,,Under Construction,2956,1163576,14877025,13,True,False
PRJ-00451,Sobha Palm Tower 2,Sobha Realty,Palm Jumeirah,Mixed Use,964,546,56.7,2018,,Off-Plan,1455,449895,16561241,25,True,True
PRJ-00452,DAMAC Al Tower 7,DAMAC Properties,Al Quoz,Residential,273,185,67.9,2018,2022.0,Completed,3361,664534,11989901,66,True,True
PRJ-00453,DIFC Residences 7,Emaar Properties,DIFC,Residential,857,318,37.2,2015,,Off-Plan,1833,387164,15231533,44,True,True
PRJ-00454,JVC Residences 17,MAG Property Development,JVC,Residential,400,328,82.2,2020,,Under Construction,3549,425937,7527153,79,True,True
PRJ-00455,Select Al Tower 1,Select Group,Al Qusais,Residential,1920,1284,66.9,2016,,Under Construction,2432,832340,14737533,80,True,False
PRJ-00456,Bur Residences 5,DAMAC Properties,Bur Dubai,Commercial,1517,1023,67.4,2023,,Under Construction,1957,981247,11030798,75,True,True
PRJ-00457,Mirdif Residences 7,Sobha Realty,Mirdif,Residential,1432,330,23.1,2013,,Off-Plan,1010,558642,24993973,34,True,True
PRJ-00458,Town Residences 18,Select Group,Town Square,Commercial,1506,1332,88.5,2020,2025.0,Completed,2272,580514,9416480,33,True,True
PRJ-00459,Dubai Residences 6,Tiger Properties,Dubai Creek Harbour,Commercial,1664,784,47.2,2015,,Off-Plan,2650,1201568,16683058,52,True,False
PRJ-00460,Bur Residences 11,Aldar,Bur Dubai,Residential,669,170,25.5,2013,,Under Construction,3136,390546,9138087,53,False,True
PRJ-00461,Dubai Residences 7,Danube Properties,Dubai Hills Estate,Mixed Use,275,60,21.9,2008,,Under Construction,1978,1202146,16555787,33,False,True
PRJ-00462,Emaar Downtown Tower 4,Emaar Properties,Downtown Dubai,Residential,1299,1221,94.0,2007,,Off-Plan,1028,1131629,16368764,42,True,False
PRJ-00463,Al Residences 7,MAG Property Development,Al Safa,Residential,76,43,57.7,2014,,Under Construction,1842,565724,19668495,61,False,True
PRJ-00464,Azizi Dubai Tower 2,Azizi Developments,Dubai Creek Harbour,Residential,206,146,71.2,2015,2017.0,Completed,4126,356734,13497446,44,True,True
PRJ-00465,Azizi Arabian Tower 2,Azizi Developments,Arabian Ranches,Commercial,99,24,24.6,2010,,Stalled,2711,686411,5335785,48,True,False
PRJ-00466,Nakheel International Tower 9,Nakheel,International City,Commercial,879,254,28.9,2024,,Off-Plan,2778,1408037,7365261,36,False,True
PRJ-00467,Business Residences 16,MAG Property Development,Business Bay,Hospitality,721,568,78.9,2013,2018.0,Completed,1219,641712,15335084,30,True,True
PRJ-00468,Bur Residences 16,Select Group,Bur Dubai,Residential,574,503,87.6,2020,2023.0,Completed,1255,512240,23052026,74,False,True
PRJ-00469,JLT Residences 1,Omniyat,JLT,Residential,143,99,69.9,2018,,Off-Plan,3774,710383,11184469,55,True,True
PRJ-00470,Dubai Residences 16,Deyaar Development,Dubai Hills Estate,Commercial,622,234,37.6,2018,,Under Construction,1561,478721,11336576,6,True,True
PRJ-00471,Ras Residences 6,Ellington Properties,Ras Al Khor,Residential,1309,623,47.7,2011,,Off-Plan,2469,310795,3075543,53,True,True
PRJ-00472,Deyaar Jumeirah Tower 7,Deyaar Development,Jumeirah,Residential,1207,667,55.3,2016,,Under Construction,3465,555782,3608708,72,False,False
PRJ-00473,Sobha DIFC Tower 1,Sobha Realty,DIFC,Residential,1749,1663,95.1,2016,2018.0,Completed,4086,1286680,5615307,65,False,True
PRJ-00474,Discovery Residences 19,Sobha Realty,Discovery Gardens,Residential,1909,1300,68.1,2009,,Under Construction,2009,442406,19466973,70,True,True
PRJ-00475,Bur Residences 12,MAG Property Development,Bur Dubai,Residential,325,246,75.7,2014,,Under Construction,2227,416891,15488145,22,True,True
PRJ-00476,Town Residences 6,Binghatti,Town Square,Residential,1179,544,46.2,2015,,Off-Plan,4195,1358748,8139828,33,True,True
PRJ-00477,DIFC Residences 16,Tiger Properties,DIFC,Residential,1132,371,32.8,2018,,Under Construction,4363,1395617,16998680,22,True,True
PRJ-00478,Downtown Residences 18,Arada,Downtown Dubai,Mixed Use,1806,1523,84.4,2024,2029.0,Completed,4393,363306,16374469,66,True,True
PRJ-00479,Bur Residences 17,Emaar Properties,Bur Dubai,Residential,1007,874,86.9,2024,2029.0,Completed,2262,1202538,18020021,57,True,True
PRJ-00480,Dubai Residences 8,MAG Property Development,Dubai Creek Harbour,Commercial,930,474,51.1,2016,,Off-Plan,902,616490,5774307,63,True,True
PRJ-00481,JLT Residences 19,Sobha Realty,JLT,Residential,1309,1073,82.0,2006,2009.0,Completed,4128,986235,14790485,54,False,False
PRJ-00482,Al Residences 16,DAMAC Properties,Al Quoz,Mixed Use,739,235,31.9,2005,,Off-Plan,1541,827233,13212042,70,True,False
PRJ-00483,Sports Residences 16,DAMAC Properties,Sports City,Residential,995,240,24.2,2016,,Under Construction,2942,523642,22177768,76,True,True
PRJ-00484,Motor Residences 8,DAMAC Properties,Motor City,Residential,906,865,95.6,2023,2028.0,Completed,1407,1473835,20341717,23,True,True
PRJ-00485,Al Residences 3,Tiger Properties,Al Safa,Residential,1583,1491,94.2,2005,,Off-Plan,2727,1020647,7478165,43,True,True
PRJ-00486,Arada Deira Tower 3,Arada,Deira,Residential,1292,957,74.1,2016,,Under Construction,1353,465233,23270531,49,True,True
PRJ-00487,Emaar Al Tower 4,Emaar Properties,Al Wasl,Residential,501,480,95.9,2018,2022.0,Completed,2557,681866,22960130,60,True,False
PRJ-00488,Azizi Palm Tower 5,Azizi Developments,Palm Jumeirah,Mixed Use,1022,511,50.0,2016,,Under Construction,1216,447294,22228275,68,False,True
PRJ-00489,Nakheel Ras Tower 6,Nakheel,Ras Al Khor,Hospitality,233,177,76.0,2015,2020.0,Completed,3473,1172576,21750281,6,True,True
PRJ-00490,Sobha Downtown Tower 7,Sobha Realty,Downtown Dubai,Residential,163,105,64.5,2018,2022.0,Completed,2733,430568,11329133,63,False,True
PRJ-00491,Nad Residences 16,Nakheel,Nad Al Sheba,Residential,1402,882,62.9,2021,2025.0,Completed,3133,759419,9295103,68,True,True
PRJ-00492,Deira Residences 5,Dubai Properties,Deira,Residential,1302,562,43.2,2005,,Off-Plan,1218,1424541,24216593,36,True,True
PRJ-00493,Emaar Residences 12,Nakheel,Emaar Beachfront,Mixed Use,1391,1114,80.1,2021,,Off-Plan,1550,1338325,17896368,79,True,True
PRJ-00494,Sobha Dubai Tower 8,Sobha Realty,Dubai Marina,Mixed Use,240,195,81.3,2014,2019.0,Completed,3384,432456,9148776,52,True,True
PRJ-00495,Ellington Emaar Tower 6,Ellington Properties,Emaar Beachfront,Commercial,402,314,78.1,2014,2017.0,Completed,3562,908902,10775784,61,True,True
PRJ-00496,Umm Residences 9,Tiger Properties,Umm Suqeim,Hospitality,1103,895,81.1,2015,2018.0,Completed,3469,1355753,3261784,37,True,False
PRJ-00497,Downtown Residences 18,Deyaar Development,Downtown Dubai,Residential,1608,1421,88.4,2022,2027.0,Completed,2231,1496530,8856015,6,True,True
PRJ-00498,Aldar Mirdif Tower 6,Aldar,Mirdif,Residential,1785,810,45.4,2018,,Off-Plan,923,695290,15313026,54,True,True
PRJ-00499,Mirdif Residences 6,Ellington Properties,Mirdif,Commercial,870,611,70.3,2017,,Under Construction,3319,1057447,20700968,57,False,True
PRJ-00500,Danube Deira Tower 2,Danube Properties,Deira,Residential,284,250,88.4,2024,2029.0,Completed,902,795506,8735605,67,True,True
PRJ-00501,DAMAC Al Tower 3,DAMAC Properties,Al Barsha,Residential,553,472,85.4,2023,2026.0,Completed,4161,1437043,14530771,12,True,True
PRJ-00502,Omniyat Al Tower 7,Omniyat,Al Barsha,Commercial,335,109,32.6,2011,,Under Construction,1243,719309,6151992,28,False,True
PRJ-00503,Motor Residences 1,Emaar Properties,Motor City,Residential,1046,714,68.3,2020,,Under Construction,4486,1455142,14001356,72,True,True
PRJ-00504,Al Residences 19,Deyaar Development,Al Satwa,Residential,1603,1287,80.3,2012,2014.0,Completed,3588,1101150,16437615,47,True,True
PRJ-00505,Reportage Business Tower 6,Reportage,Business Bay,Residential,1581,1253,79.3,2023,2027.0,Completed,2019,1484008,14926341,56,True,True
PRJ-00506,Select Town Tower 9,Select Group,Town Square,Commercial,1984,1250,63.0,2022,2026.0,Completed,3098,938322,20824884,40,True,True
PRJ-00507,Seven Al Tower 6,Seven Tides,Al Quoz,Commercial,1365,1095,80.2,2011,2016.0,Completed,3321,1055194,7912148,76,True,True
PRJ-00508,Dubai Bur Tower 3,Dubai Properties,Bur Dubai,Mixed Use,1684,1362,80.9,2017,2019.0,Completed,2301,308341,15555666,28,True,True
PRJ-00509,Ras Residences 3,Azizi Developments,Ras Al Khor,Mixed Use,1590,320,20.2,2009,,Off-Plan,2877,351596,19982741,74,False,True
PRJ-00510,Motor Residences 12,DAMAC Properties,Motor City,Residential,1590,1137,71.5,2023,,Off-Plan,3049,767679,21678657,69,True,True
PRJ-00511,Jumeirah Residences 1,Tiger Properties,Jumeirah,Mixed Use,683,605,88.7,2018,,Under Construction,3194,1144141,6820351,24,False,True
PRJ-00512,Binghatti Town Tower 4,Binghatti,Town Square,Residential,113,39,34.6,2023,,Under Construction,3910,1255988,3994949,62,True,True
PRJ-00513,Seven DIFC Tower 8,Seven Tides,DIFC,Commercial,477,141,29.7,2020,,Under Construction,1414,1170513,7246545,17,True,True
PRJ-00514,Danube Sports Tower 9,Danube Properties,Sports City,Mixed Use,1838,1385,75.4,2024,,Under Construction,3886,1487937,14026395,61,True,True
PRJ-00515,Meraas Ras Tower 4,Meraas,Ras Al Khor,Residential,1102,864,78.5,2009,2011.0,Completed,1730,669803,19449415,50,False,True
PRJ-00516,Aldar Motor Tower 8,Aldar,Motor City,Mixed Use,1045,700,67.0,2023,,Stalled,3519,1132922,24523602,26,False,True
PRJ-00517,Al Residences 7,Aldar,Al Qusais,Hospitality,1091,956,87.6,2011,2014.0,Completed,1282,940932,23458339,41,False,True
PRJ-00518,Aldar International Tower 4,Aldar,International City,Residential,145,121,83.8,2006,,Under Construction,2388,724252,3046558,33,True,True
PRJ-00519,Arabian Residences 14,Deyaar Development,Arabian Ranches,Residential,1547,1203,77.8,2017,2021.0,Completed,4257,1311150,2073659,14,False,True
PRJ-00520,Nakheel Bur Tower 4,Nakheel,Bur Dubai,Residential,640,587,91.8,2012,,Under Construction,1764,1060417,15361607,54,True,True
PRJ-00521,Tiger Ras Tower 8,Tiger Properties,Ras Al Khor,Mixed Use,1122,960,85.6,2018,2022.0,Completed,2454,1052034,7775848,34,True,False
PRJ-00522,Al Residences 15,Ellington Properties,Al Wasl,Residential,1033,543,52.7,2009,,Off-Plan,4120,768951,13738631,57,True,True
PRJ-00523,Seven JLT Tower 2,Seven Tides,JLT,Mixed Use,1699,372,21.9,2005,,Under Construction,4198,1132535,6288533,21,False,True
PRJ-00524,MAG Jumeirah Tower 6,MAG Property Development,Jumeirah,Residential,632,132,21.0,2020,,Off-Plan,4274,587039,14532596,23,True,True
PRJ-00525,Al Residences 9,MAG Property Development,Al Satwa,Residential,1941,1562,80.5,2007,2011.0,Completed,4277,562770,4779463,46,True,True
PRJ-00526,Omniyat Town Tower 3,Omniyat,Town Square,Residential,895,714,79.8,2008,2013.0,Completed,4400,421367,13396940,51,True,True
PRJ-00527,Mirdif Residences 12,Arada,Mirdif,Mixed Use,267,198,74.2,2014,2017.0,Completed,1996,1049944,21953832,32,True,True
PRJ-00528,Umm Residences 3,Deyaar Development,Umm Suqeim,Residential,884,693,78.5,2009,2012.0,Completed,3727,438325,16302520,48,False,True
PRJ-00529,Dubai Residences 4,Binghatti,Dubai Marina,Commercial,1525,1295,85.0,2013,2015.0,Completed,2851,1341965,10909955,54,False,True
PRJ-00530,Ellington Dubai Tower 7,Ellington Properties,Dubai Marina,Mixed Use,1145,828,72.3,2024,,Under Construction,2651,1437279,4156547,61,True,True
PRJ-00531,DAMAC International Tower 3,DAMAC Properties,International City,Mixed Use,192,182,94.8,2012,2017.0,Completed,968,820848,11933884,37,True,False
PRJ-00532,Meraas Arabian Tower 6,Meraas,Arabian Ranches,Mixed Use,1990,1621,81.5,2021,,Off-Plan,3828,631485,17146081,69,True,True
PRJ-00533,Reportage Nad Tower 4,Reportage,Nad Al Sheba,Residential,1311,1208,92.2,2012,2014.0,Completed,1681,423175,4661533,62,True,False
PRJ-00534,Select JLT Tower 5,Select Group,JLT,Residential,1561,649,41.6,2019,,Off-Plan,2843,535517,8637364,68,True,True
PRJ-00535,Danube DIFC Tower 9,Danube Properties,DIFC,Residential,869,549,63.2,2017,2020.0,Completed,1277,543304,23706840,37,True,False
PRJ-00536,Al Residences 10,Danube Properties,Al Satwa,Residential,931,853,91.6,2018,,Stalled,3410,845823,21595874,56,True,False
PRJ-00537,Mirdif Residences 20,Sobha Realty,Mirdif,Residential,993,820,82.6,2016,,Under Construction,2887,1040765,2696374,12,True,True
PRJ-00538,Al Residences 15,Select Group,Al Satwa,Residential,661,285,43.2,2018,,Under Construction,3293,575985,15087318,73,False,True
PRJ-00539,Town Residences 13,Sobha Realty,Town Square,Residential,1779,1528,85.9,2017,2019.0,Completed,3180,1063900,12252508,48,True,True
PRJ-00540,Meraas Arabian Tower 1,Meraas,Arabian Ranches,Hospitality,1028,857,83.5,2011,2014.0,Completed,4282,941555,17543324,21,True,True
PRJ-00541,Deira Residences 8,Reportage,Deira,Residential,1039,609,58.7,2022,,Under Construction,3763,1207058,9557901,45,False,False
PRJ-00542,Al Residences 15,MAG Property Development,Al Barsha,Residential,936,700,74.9,2020,,Under Construction,4070,1062944,19224096,42,True,True
PRJ-00543,Select Al Tower 4,Select Group,Al Satwa,Residential,838,637,76.1,2022,2026.0,Completed,3343,842103,19540380,72,True,True
PRJ-00544,Al Residences 3,Azizi Developments,Al Safa,Commercial,369,231,62.8,2023,2027.0,Completed,3311,1496537,3000251,33,False,False
PRJ-00545,Meraas Al Tower 1,Meraas,Al Qusais,Residential,693,676,97.6,2023,2028.0,Completed,1932,376008,13268631,61,True,False
PRJ-00546,Seven Dubai Tower 5,Seven Tides,Dubai Hills Estate,Commercial,71,16,23.3,2017,,Stalled,2467,410892,6039727,13,True,True
PRJ-00547,Nakheel International Tower 4,Nakheel,International City,Mixed Use,821,589,71.9,2021,2026.0,Completed,1268,1380996,24024723,35,False,True
PRJ-00548,Azizi International Tower 7,Azizi Developments,International City,Residential,586,423,72.3,2019,2021.0,Completed,2553,1063037,22952987,7,True,True
PRJ-00549,MAG Deira Tower 4,MAG Property Development,Deira,Residential,1841,468,25.4,2012,,Under Construction,3328,485428,19218005,48,True,False
PRJ-00550,Ellington Al Tower 6,Ellington Properties,Al Satwa,Commercial,784,440,56.1,2016,,Under Construction,2267,645639,17073886,7,True,True
PRJ-00551,Binghatti Business Tower 5,Binghatti,Business Bay,Mixed Use,1434,1135,79.2,2023,,Under Construction,3218,1201630,3249017,41,False,True
PRJ-00552,Meraas Al Tower 6,Meraas,Al Karama,Mixed Use,608,534,87.9,2021,2023.0,Completed,1257,1343220,23801777,51,True,True
PRJ-00553,Danube Al Tower 2,Danube Properties,Al Safa,Mixed Use,1212,854,70.5,2017,,Off-Plan,3451,1413097,20613776,5,True,True
PRJ-00554,Dubai Mirdif Tower 7,Dubai Properties,Mirdif,Commercial,1884,1594,84.6,2022,2025.0,Completed,3542,313817,17323325,72,True,False
PRJ-00555,Al Residences 18,Nakheel,Al Karama,Commercial,970,602,62.1,2006,2011.0,Completed,4369,1153041,12076499,67,False,True
PRJ-00556,Arabian Residences 8,Ellington Properties,Arabian Ranches,Residential,765,588,76.9,2016,2018.0,Completed,4336,1063710,20710728,10,True,True
PRJ-00557,Tiger Deira Tower 3,Tiger Properties,Deira,Commercial,596,216,36.4,2013,,Under Construction,2592,965358,22925816,71,False,True
PRJ-00558,Sports Residences 5,Aldar,Sports City,Residential,634,268,42.4,2008,,Under Construction,832,605896,8258215,30,False,True
PRJ-00559,Nad Residences 17,Nakheel,Nad Al Sheba,Residential,1900,1101,58.0,2010,,Stalled,2095,518160,16579448,68,True,True
PRJ-00560,Jumeirah Residences 3,Aldar,Jumeirah,Residential,866,729,84.3,2017,,Under Construction,919,1196378,16686270,12,True,False
PRJ-00561,Emaar Mirdif Tower 8,Emaar Properties,Mirdif,Hospitality,176,144,82.3,2022,2024.0,Completed,2143,338731,3536182,35,False,True
PRJ-00562,Ras Residences 3,Aldar,Ras Al Khor,Mixed Use,587,463,79.0,2007,2011.0,Completed,4017,1184648,20206018,13,True,True
PRJ-00563,Downtown Residences 1,Nakheel,Downtown Dubai,Residential,52,46,89.4,2019,2022.0,Completed,3308,1493211,18699210,22,True,True
PRJ-00564,Emaar Al Tower 6,Emaar Properties,Al Quoz,Residential,1210,648,53.6,2020,,Off-Plan,2364,327415,10077573,72,True,True
PRJ-00565,Arada Dubai Tower 1,Arada,Dubai Hills Estate,Residential,274,200,73.4,2024,2028.0,Completed,2199,1358809,18992510,43,True,True
PRJ-00566,Deira Residences 8,Seven Tides,Deira,Mixed Use,1304,1215,93.2,2010,,Under Construction,3703,358204,2099494,74,True,True
PRJ-00567,Deyaar Dubai Tower 5,Deyaar Development,Dubai Marina,Commercial,449,141,31.6,2021,,Off-Plan,3068,1222988,16573588,51,True,True
PRJ-00568,Meraas JLT Tower 9,Meraas,JLT,Residential,969,652,67.4,2019,2022.0,Completed,2633,682926,13515109,18,True,True
PRJ-00569,Al Residences 11,Nakheel,Al Safa,Residential,1527,701,45.9,2024,,Off-Plan,4454,1356687,11051782,48,True,False
PRJ-00570,Binghatti Emaar Tower 4,Binghatti,Emaar Beachfront,Commercial,1165,379,32.6,2023,,Under Construction,3537,870962,16938119,17,False,True
PRJ-00571,Dubai Residences 3,Deyaar Development,Dubai Hills Estate,Mixed Use,1816,1575,86.8,2010,,Off-Plan,1623,1235817,10994727,62,False,False
PRJ-00572,MAG JVC Tower 7,MAG Property Development,JVC,Residential,1023,506,49.5,2015,,Off-Plan,3913,1482922,6580737,52,False,True
PRJ-00573,Al Residences 11,Deyaar Development,Al Safa,Residential,257,104,40.5,2019,,Under Construction,1439,1016411,14647116,36,False,True
PRJ-00574,Al Residences 17,Dubai Properties,Al Qusais,Residential,802,438,54.7,2013,,Off-Plan,3022,764351,16153184,40,True,False
PRJ-00575,Arabian Residences 15,Sobha Realty,Arabian Ranches,Residential,434,375,86.6,2012,2017.0,Completed,914,694831,15857413,39,True,True
PRJ-00576,Emaar Residences 20,Binghatti,Emaar Beachfront,Commercial,1960,1480,75.5,2015,,Under Construction,2895,430063,9056518,25,True,True
PRJ-00577,Dubai Residences 15,Tiger Properties,Dubai Creek Harbour,Commercial,204,192,94.5,2016,,Under Construction,1487,349083,20951066,9,True,False
PRJ-00578,Al Residences 20,Meraas,Al Satwa,Residential,63,56,89.7,2006,,Stalled,2366,316995,4912030,60,False,True
PRJ-00579,Town Residences 7,Emaar Properties,Town Square,Mixed Use,550,367,66.8,2007,2010.0,Completed,1175,586011,17479896,76,False,False
PRJ-00580,Nakheel Al Tower 3,Nakheel,Al Barsha,Mixed Use,640,532,83.2,2023,,Under Construction,4120,641331,12681624,71,False,True
PRJ-00581,Emaar Residences 18,Sobha Realty,Emaar Beachfront,Residential,185,117,63.3,2009,,Off-Plan,2454,1439085,8901481,27,False,True
PRJ-00582,Ellington Motor Tower 8,Ellington Properties,Motor City,Commercial,780,664,85.1,2009,2013.0,Completed,3186,1177009,11277338,57,True,True
PRJ-00583,Emaar JLT Tower 2,Emaar Properties,JLT,Residential,1641,848,51.7,2007,,Under Construction,3130,1171093,11545255,14,True,True
PRJ-00584,Tiger Al Tower 4,Tiger Properties,Al Qusais,Residential,341,291,85.4,2022,,Stalled,3294,1282986,7917509,36,True,True
PRJ-00585,JVC Residences 12,Reportage,JVC,Mixed Use,558,149,26.7,2021,,Under Construction,746,644145,17859176,24,False,True
PRJ-00586,Nakheel International Tower 8,Nakheel,International City,Residential,1148,1133,98.7,2020,2022.0,Completed,1029,424456,7594701,53,False,True
PRJ-00587,Al Residences 8,Tiger Properties,Al Safa,Mixed Use,611,537,88.0,2022,,Under Construction,1210,1156131,3986961,30,False,False
PRJ-00588,Azizi Mirdif Tower 9,Azizi Developments,Mirdif,Residential,297,137,46.2,2022,,Stalled,3249,966326,16960794,42,True,True
PRJ-00589,Deyaar JVC Tower 3,Deyaar Development,JVC,Commercial,610,169,27.8,2016,,Stalled,1829,846500,3005317,41,True,False
PRJ-00590,Umm Residences 16,Deyaar Development,Umm Suqeim,Commercial,1934,1026,53.1,2020,,Off-Plan,3437,347515,10188076,59,True,True
PRJ-00591,Tiger Al Tower 7,Tiger Properties,Al Karama,Mixed Use,1786,973,54.5,2007,,Under Construction,3446,1368460,6123827,20,True,True
PRJ-00592,Binghatti Dubai Tower 6,Binghatti,Dubai Creek Harbour,Mixed Use,1290,646,50.1,2023,,Under Construction,1821,1308127,8046061,42,True,False
PRJ-00593,Sports Residences 8,Meraas,Sports City,Commercial,62,35,56.7,2010,,Off-Plan,2707,547991,10572814,10,True,False
PRJ-00594,Seven Al Tower 5,Seven Tides,Al Barsha,Residential,1628,1512,92.9,2023,2026.0,Completed,1013,1303613,11973819,17,True,True
PRJ-00595,Arada Al Tower 6,Arada,Al Satwa,Residential,1465,1163,79.4,2023,2025.0,Completed,3557,1075047,13234409,50,False,True
