unit_id,building_id,unit_number,floor,bedrooms,bathrooms,area_sqft,property_type,view,is_furnished,current_status,last_transaction_year,last_sale_price_aed
UNIT-0002191,BLDG-012055,3703,50,2,2,699,Apartment,Pool View,False,Vacant,2019,11484421
UNIT-0002192,BLDG-014238,6403,21,1,1,837,Villa,No Preference,False,Occupied,2024,12042692
UNIT-0002193,BLDG-002734,5606,73,3,5,3930,Apartment,Pool View,False,Vacant,2020,9882285
UNIT-0002194,BLDG-004016,4515,58,5,3,2176,Penthouse,Sea View,False,Vacant,2024,9940173
UNIT-0002195,BLDG-014450,5215,30,1,2,1015,Apartment,City View,False,Occupied,2018,1534236
UNIT-0002196,BLDG-010852,4215,8,3,5,1318,Villa,No Preference,False,Occupied,2024,3458570
UNIT-0002197,BLDG-005332,1709,71,2,3,2072,Townhouse,Garden View,False,Occupied,2019,333943
UNIT-0002198,BLDG-012599,6215,53,1,2,3439,Apartment,Garden View,True,Occupied,2015,9956595
UNIT-0002199,BLDG-008953,8013,27,3,3,438,Apartment,Garden View,True,Occupied,2020,12394316
UNIT-0002200,BLDG-003396,906,25,0,5,2073,Studio,City View,False,Under Renovation,2018,926162
UNIT-0002201,BLDG-005625,2717,32,1,2,1401,Apartment,Sea View,False,Occupied,2019,5474662
UNIT-0002202,BLDG-012146,4017,74,2,2,1443,Villa,City View,True,Vacant,2019,4918632
UNIT-0002203,BLDG-007620,6908,42,3,2,737,Townhouse,City View,True,Vacant,2016,3000737
UNIT-0002204,BLDG-013200,3215,17,2,2,3459,Villa,No Preference,True,Occupied,2024,9527986
UNIT-0002205,BLDG-013583,5403,43,1,2,3918,Townhouse,Garden View,False,Vacant,2015,9603983
UNIT-0002206,BLDG-013323,6908,8,1,3,2980,Apartment,City View,True,Occupied,2017,9918516
UNIT-0002207,BLDG-003031,1505,74,1,3,4424,Apartment,Pool View,False,Vacant,2017,11752178
UNIT-0002208,BLDG-013898,4908,56,2,1,3837,Apartment,City View,False,Occupied,2017,6745695
UNIT-0002209,BLDG-002007,410,75,3,3,856,Apartment,City View,True,Occupied,2019,12983716
UNIT-0002210,BLDG-007317,807,74,1,2,4121,Townhouse,Garden View,True,Vacant,2022,4029130
UNIT-0002211,BLDG-001734,6918,16,2,1,1513,Apartment,City View,True,Under Renovation,2016,6780755
UNIT-0002212,BLDG-000053,6503,54,1,3,3234,Villa,City View,False,Occupied,2016,13634625
UNIT-0002213,BLDG-009606,3419,36,1,3,4652,Apartment,Garden View,False,Occupied,2019,12090461
UNIT-0002214,BLDG-005954,6010,66,3,1,2823,Apartment,Garden View,False,Occupied,2017,14257441
UNIT-0002215,BLDG-010351,3410,25,1,4,2230,Villa,City View,False,Occupied,2016,5989714
UNIT-0002216,BLDG-006650,3907,11,3,3,3130,Apartment,Sea View,False,Occupied,2018,8609865
UNIT-0002217,BLDG-006598,4308,39,2,3,3692,Apartment,City View,True,Occupied,2022,9383944
UNIT-0002218,BLDG-005483,7219,71,2,4,2098,Townhouse,No Preference,False,Occupied,2020,2939516
UNIT-0002219,BLDG-000734,5216,35,2,1,3638,Apartment,City View,False,Under Renovation,2022,1022276
UNIT-0002220,BLDG-006844,618,65,2,2,871,Villa,City View,False,Occupied,2017,9505248
UNIT-0002221,BLDG-001139,4608,58,4,2,3039,Apartment,Sea View,False,Occupied,2018,13179937
UNIT-0002222,BLDG-012618,707,39,1,1,1785,Apartment,Garden View,False,Occupied,2024,12919746
UNIT-0002223,BLDG-006472,3803,42,5,2,1866,Apartment,No Preference,True,Occupied,2022,4221737
UNIT-0002224,BLDG-007740,4617,39,0,4,1231,Townhouse,City View,False,Vacant,2023,10593114
UNIT-0002225,BLDG-014184,4105,48,1,1,2989,Villa,City View,False,Vacant,2021,12466466
UNIT-0002226,BLDG-009259,5301,29,1,2,2381,Apartment,Garden View,False,Occupied,2017,1536026
UNIT-0002227,BLDG-009388,7301,6,3,2,3892,Apartment,Sea View,False,Vacant,2019,2212487
UNIT-0002228,BLDG-002213,5412,78,4,3,2523,Apartment,City View,True,Occupied,2023,12114935
UNIT-0002229,BLDG-002400,3607,6,4,2,4778,Studio,City View,False,Vacant,2022,5730172
UNIT-0002230,BLDG-014225,913,51,4,4,2922,Apartment,No Preference,False,Vacant,2018,9150432
UNIT-0002231,BLDG-001104,3809,35,3,3,4303,Apartment,City View,False,Vacant,2016,10689840
UNIT-0002232,BLDG-007750,5504,15,0,2,3698,Apartment,City View,False,Occupied,2020,7539223
UNIT-0002233,BLDG-007261,3904,71,3,1,3106,Villa,City View,False,Vacant,2018,13490124
UNIT-0002234,BLDG-003916,309,61,3,3,3832,Villa,Garden View,True,Occupied,2020,7439792
UNIT-0002235,BLDG-004636,6108,41,3,4,3179,Villa,City View,False,Vacant,2024,9658608
UNIT-0002236,BLDG-010685,2310,17,3,4,4358,Apartment,Pool View,True,Occupied,2018,1086253
UNIT-0002237,BLDG-014958,5519,66,1,1,853,Townhouse,No Preference,True,Vacant,2015,6128912
UNIT-0002238,BLDG-004926,6119,25,2,1,961,Apartment,City View,True,Vacant,2023,11687345
UNIT-0002239,BLDG-011597,411,39,1,3,2717,Apartment,City View,False,Occupied,2016,980388
UNIT-0002240,BLDG-005078,1216,8,2,3,4582,Apartment,City View,False,Vacant,2020,14187184
UNIT-0002241,BLDG-009976,4814,14,2,3,2534,Apartment,No Preference,False,Vacant,2023,8658908
UNIT-0002242,BLDG-014509,3201,2,1,3,3283,Apartment,Pool View,False,Vacant,2022,11834182
UNIT-0002243,BLDG-001991,6908,6,3,3,4945,Apartment,Sea View,False,Occupied,2020,5963066
UNIT-0002244,BLDG-000877,7820,8,3,4,2908,Penthouse,Garden View,True,Occupied,2016,4580793
UNIT-0002245,BLDG-006619,7006,3,4,2,1112,Apartment,City View,True,Occupied,2018,1314805
UNIT-0002246,BLDG-000301,2215,13,2,2,4615,Penthouse,Pool View,False,Vacant,2015,12475611
UNIT-0002247,BLDG-010368,1801,72,1,2,851,Apartment,No Preference,True,Vacant,2024,1548289
UNIT-0002248,BLDG-013319,115,74,3,3,3062,Apartment,Garden View,False,Under Renovation,2021,7652272
UNIT-0002249,BLDG-000394,107,7,3,2,2767,Studio,Garden View,False,Under Renovation,2024,12846807
UNIT-0002250,BLDG-000043,4902,22,1,3,2544,Apartment,Pool View,False,Vacant,2022,12891989
UNIT-0002251,BLDG-004388,2920,55,3,2,2507,Apartment,Sea View,False,Occupied,2018,6242890
UNIT-0002252,BLDG-000617,7607,51,2,2,4444,Apartment,No Preference,False,Occupied,2020,12478732
UNIT-0002253,BLDG-009627,2914,44,3,2,2472,Apartment,Sea View,False,Occupied,2024,9704746
UNIT-0002254,BLDG-011988,1302,26,4,4,3249,Apartment,No Preference,False,Occupied,2023,12833384
UNIT-0002255,BLDG-004935,6101,34,2,2,419,Penthouse,No Preference,False,Occupied,2020,1181757
UNIT-0002256,BLDG-004399,2806,44,3,3,3327,Townhouse,No Preference,False,Occupied,2016,13586951
UNIT-0002257,BLDG-010308,3204,24,4,4,4165,Apartment,No Preference,False,Occupied,2020,4812781
UNIT-0002258,BLDG-013532,920,42,1,2,3834,Studio,Garden View,True,Occupied,2022,1303597
UNIT-0002259,BLDG-010124,106,12,1,1,891,Apartment,Pool View,False,Occupied,2019,8537894
UNIT-0002260,BLDG-000659,7703,26,2,3,614,Penthouse,No Preference,False,Vacant,2019,6129962
UNIT-0002261,BLDG-000969,412,52,2,2,1688,Apartment,City View,False,Vacant,2017,4193333
UNIT-0002262,BLDG-001741,7603,10,4,2,1978,Villa,Garden View,False,Vacant,2018,10014824
UNIT-0002263,BLDG-007867,7709,28,2,2,1533,Townhouse,Garden View,False,Occupied,2020,14141548
UNIT-0002264,BLDG-008839,8014,50,0,3,3192,Apartment,No Preference,False,Under Renovation,2015,6612838
UNIT-0002265,BLDG-007381,4706,44,5,2,1820,Apartment,Pool View,False,Occupied,2022,11625157
UNIT-0002266,BLDG-013913,7201,18,2,2,1220,Villa,No Preference,False,Vacant,2021,12499978
UNIT-0002267,BLDG-007670,816,17,2,3,1540,Townhouse,Pool View,False,Vacant,2015,6070039
UNIT-0002268,BLDG-014331,4503,48,2,2,4504,Studio,Pool View,False,Occupied,2015,5572182
UNIT-0002269,BLDG-010132,6006,35,4,4,1022,Apartment,Garden View,False,Occupied,2017,14445611
UNIT-0002270,BLDG-007762,7810,31,2,3,1274,Villa,Sea View,False,Vacant,2018,7269164
UNIT-0002271,BLDG-010626,2902,60,2,1,4680,Apartment,Garden View,True,Vacant,2015,13228156
UNIT-0002272,BLDG-014231,2219,34,3,5,3241,Apartment,City View,False,Vacant,2017,11492061
UNIT-0002273,BLDG-011221,6720,4,2,2,1909,Apartment,Garden View,True,Occupied,2017,6877688
UNIT-0002274,BLDG-008897,2919,45,1,4,2653,Apartment,City View,False,Vacant,2016,7364978
UNIT-0002275,BLDG-008966,5404,32,3,1,3189,Townhouse,City View,True,Vacant,2016,13847654
UNIT-0002276,BLDG-006868,6604,27,1,2,4288,Townhouse,Garden View,False,Occupied,2021,6023165
UNIT-0002277,BLDG-009428,2202,30,4,3,4241,Villa,City View,False,Occupied,2023,5026328
UNIT-0002278,BLDG-007245,2905,2,5,1,3057,Apartment,Pool View,False,Occupied,2019,5444394
UNIT-0002279,BLDG-008724,6611,76,0,4,4227,Apartment,No Preference,True,Occupied,2017,5970982
UNIT-0002280,BLDG-004259,6320,67,3,3,2932,Apartment,Sea View,False,Occupied,2017,6265495
UNIT-0002281,BLDG-014338,2216,32,2,4,2556,Townhouse,Garden View,True,Occupied,2023,11776224
UNIT-0002282,BLDG-006328,6313,72,5,2,2661,Townhouse,City View,True,Occupied,2016,2393574
UNIT-0002283,BLDG-010452,7016,21,5,2,2462,Penthouse,Pool View,True,Occupied,2018,11967799
UNIT-0002284,BLDG-000717,7705,57,0,3,564,Townhouse,No Preference,False,Under Renovation,2019,13415483
UNIT-0002285,BLDG-013744,1109,71,2,3,2907,Villa,City View,False,Occupied,2015,9190272
UNIT-0002286,BLDG-004626,915,77,3,2,2909,Apartment,Pool View,False,Vacant,2022,564797
UNIT-0002287,BLDG-002416,4510,6,1,3,749,Villa,No Preference,False,Occupied,2024,1154088
UNIT-0002288,BLDG-006636,4211,14,1,2,1872,Townhouse,No Preference,False,Vacant,2016,5695369
UNIT-0002289,BLDG-001316,3409,18,3,3,2035,Apartment,Pool View,True,Vacant,2022,12639997
UNIT-0002290,BLDG-005733,3514,11,2,1,1449,Apartment,City View,True,Occupied,2024,6544149
UNIT-0002291,BLDG-003782,5919,70,2,2,1519,Apartment,No Preference,True,Vacant,2021,3603243
UNIT-0002292,BLDG-010238,3801,23,4,4,1549,Townhouse,Pool View,True,Vacant,2018,14399455
UNIT-0002293,BLDG-003276,203,27,2,3,417,Apartment,Pool View,True,Occupied,2020,10021041
UNIT-0002294,BLDG-009566,619,69,2,2,2062,Villa,No Preference,False,Occupied,2017,10552805
UNIT-0002295,BLDG-007462,5813,24,3,2,1341,Apartment,Garden View,True,Occupied,2021,4000572
UNIT-0002296,BLDG-004245,1705,46,1,3,4575,Apartment,Sea View,True,Vacant,2018,6658046
UNIT-0002297,BLDG-009232,7001,62,3,1,1416,Penthouse,No Preference,True,Occupied,2018,2100158
UNIT-0002298,BLDG-003957,6115,53,3,3,3036,Apartment,City View,False,Occupied,2019,7631270
UNIT-0002299,BLDG-006622,2305,54,2,2,3637,Apartment,City View,True,Occupied,2022,9910794
UNIT-0002300,BLDG-001905,1618,5,3,3,2261,Studio,Sea View,True,Occupied,2020,5693805
UNIT-0002301,BLDG-011170,3816,35,1,1,1841,Townhouse,City View,False,Occupied,2020,7416221
UNIT-0002302,BLDG-004027,5307,35,1,4,4769,Townhouse,Pool View,False,Occupied,2016,9778656
UNIT-0002303,BLDG-008242,5815,54,4,2,3945,Villa,No Preference,True,Occupied,2016,1228210
UNIT-0002304,BLDG-004902,5001,39,2,3,1391,Apartment,No Preference,False,Occupied,2024,13661344
UNIT-0002305,BLDG-001080,1402,8,2,2,3907,Apartment,No Preference,True,Vacant,2019,586414
UNIT-0002306,BLDG-008590,618,19,3,2,1236,Apartment,City View,False,Occupied,2018,2246151
UNIT-0002307,BLDG-010136,1013,76,3,2,3598,Apartment,City View,False,Occupied,2020,3376070
UNIT-0002308,BLDG-008863,7811,15,3,4,2975,Apartment,Sea View,False,Under Renovation,2019,13273627
UNIT-0002309,BLDG-010498,4205,18,2,3,1120,Apartment,Garden View,False,Occupied,2024,6533395
UNIT-0002310,BLDG-012495,4119,8,2,4,815,Apartment,Sea View,True,Occupied,2015,10955529
UNIT-0002311,BLDG-002060,4420,61,3,4,4358,Apartment,Garden View,True,Occupied,2022,1549092
UNIT-0002312,BLDG-009407,3809,57,1,2,3630,Apartment,No Preference,True,Occupied,2015,13789120
UNIT-0002313,BLDG-011456,2417,61,5,3,2213,Studio,Garden View,False,Occupied,2018,10211180
UNIT-0002314,BLDG-011607,2913,51,3,3,2563,Townhouse,City View,True,Vacant,2017,13013775
UNIT-0002315,BLDG-009804,6904,77,2,3,3917,Apartment,Pool View,True,Occupied,2017,12025471
UNIT-0002316,BLDG-004711,1202,65,1,3,712,Apartment,Pool View,False,Occupied,2019,9168513
UNIT-0002317,BLDG-014148,6720,14,1,3,560,Apartment,Garden View,False,Vacant,2017,5808625
UNIT-0002318,BLDG-004468,8020,35,2,2,3671,Villa,Garden View,True,Occupied,2019,1157089
UNIT-0002319,BLDG-009174,7401,16,3,4,3277,Studio,Sea View,False,Vacant,2017,7552460
UNIT-0002320,BLDG-014644,3507,2,4,2,2756,Villa,No Preference,False,Occupied,2018,14770657
UNIT-0002321,BLDG-012151,2306,36,2,3,2043,Apartment,Sea View,True,Under Renovation,2019,11112252
UNIT-0002322,BLDG-007367,6217,16,1,3,3579,Apartment,No Preference,False,Occupied,2020,7647520
UNIT-0002323,BLDG-014321,2206,24,2,2,2727,Apartment,Sea View,False,Occupied,2023,9105461
UNIT-0002324,BLDG-010627,4003,70,1,3,3891,Apartment,Pool View,False,Occupied,2022,1904814
UNIT-0002325,BLDG-004019,811,66,3,2,1256,Townhouse,City View,True,Occupied,2024,9024427
UNIT-0002326,BLDG-002017,1308,77,1,2,4873,Apartment,Sea View,False,Vacant,2022,10457934
UNIT-0002327,BLDG-001509,3910,71,1,3,1320,Villa,City View,True,Occupied,2024,4110500
UNIT-0002328,BLDG-006580,7306,20,5,1,2249,Apartment,No Preference,True,Vacant,2016,12988208
UNIT-0002329,BLDG-002518,2306,31,2,2,4210,Villa,Sea View,False,Occupied,2017,8503470
UNIT-0002330,BLDG-001673,7917,33,3,4,3720,Apartment,No Preference,True,Occupied,2019,9482078
UNIT-0002331,BLDG-006504,7104,65,2,3,4373,Apartment,Pool View,False,Occupied,2020,12640702
UNIT-0002332,BLDG-006232,2602,26,1,4,4392,Studio,Garden View,True,Occupied,2020,8996711
UNIT-0002333,BLDG-004783,319,66,2,2,4493,Apartment,Garden View,True,Occupied,2020,1604737
UNIT-0002334,BLDG-009966,4601,39,1,2,856,Villa,Garden View,True,Occupied,2015,10945755
UNIT-0002335,BLDG-005342,4519,60,0,2,4478,Apartment,No Preference,False,Occupied,2018,7501491
UNIT-0002336,BLDG-011893,218,59,4,3,4241,Villa,Garden View,True,Occupied,2019,10931259
UNIT-0002337,BLDG-007177,2905,22,3,3,3646,Apartment,City View,True,Occupied,2022,8961851
UNIT-0002338,BLDG-006249,3512,69,4,2,2885,Villa,No Preference,True,Occupied,2019,10845660
UNIT-0002339,BLDG-002566,7309,58,2,3,4018,Apartment,Pool View,False,Occupied,2015,1705633
UNIT-0002340,BLDG-002891,1717,49,3,2,2732,Apartment,Garden View,True,Vacant,2022,2503753
UNIT-0002341,BLDG-000647,1113,2,2,2,2772,Townhouse,No Preference,False,Vacant,2016,12697956
UNIT-0002342,BLDG-006623,6902,31,2,3,2705,Apartment,Pool View,False,Vacant,2016,10619797
UNIT-0002343,BLDG-006925,4520,54,2,5,558,Apartment,No Preference,False,Occupied,2020,14493304
UNIT-0002344,BLDG-008609,7103,38,3,2,3398,Villa,City View,False,Occupied,2016,937848
UNIT-0002345,BLDG-003011,2617,73,2,3,3575,Apartment,Sea View,True,Occupied,2023,6070218
UNIT-0002346,BLDG-000825,6810,38,1,4,4361,Penthouse,No Preference,False,Occupied,2020,1697485
UNIT-0002347,BLDG-003841,4705,19,3,2,1577,Apartment,City View,False,Occupied,2017,2123450
UNIT-0002348,BLDG-010988,5116,21,1,2,1641,Apartment,No Preference,True,Vacant,2024,14355916
UNIT-0002349,BLDG-007160,6912,28,5,4,1000,Townhouse,Pool View,True,Occupied,2017,8123345
UNIT-0002350,BLDG-007988,7004,47,3,5,2223,Townhouse,City View,False,Occupied,2023,3166888
UNIT-0002351,BLDG-002475,7920,75,1,2,1478,Apartment,Garden View,False,Occupied,2016,11165996
UNIT-0002352,BLDG-012222,4811,22,1,3,1849,Villa,Sea View,False,Under Renovation,2017,9116747
UNIT-0002353,BLDG-011922,3219,73,0,3,2662,Studio,No Preference,False,Occupied,2019,11962914
UNIT-0002354,BLDG-009450,917,26,1,3,3406,Apartment,Garden View,True,Occupied,2017,9074894
UNIT-0002355,BLDG-007966,1812,12,4,3,2093,Apartment,City View,False,Occupied,2016,2100454
UNIT-0002356,BLDG-008894,914,49,2,2,1499,Apartment,Pool View,True,Occupied,2018,1504897
UNIT-0002357,BLDG-000040,2610,22,0,1,4099,Studio,Garden View,False,Occupied,2017,10515664
UNIT-0002358,BLDG-013832,1505,50,2,3,2712,Studio,Sea View,False,Occupied,2019,4014380
UNIT-0002359,BLDG-004697,2211,56,1,2,4292,Apartment,Sea View,True,Occupied,2023,10735745
UNIT-0002360,BLDG-002942,5601,7,2,3,3221,Apartment,City View,True,Occupied,2018,389668
UNIT-0002361,BLDG-013691,6614,57,1,1,3332,Townhouse,City View,True,Vacant,2018,8128690
UNIT-0002362,BLDG-013062,6607,63,1,2,1631,Apartment,City View,True,Occupied,2024,2966143
UNIT-0002363,BLDG-003652,6219,33,1,3,4740,Villa,City View,True,Occupied,2020,3305596
UNIT-0002364,BLDG-013244,7004,51,1,3,2455,Villa,City View,False,Occupied,2023,6555652
UNIT-0002365,BLDG-010869,7920,14,5,3,3211,Apartment,City View,True,Occupied,2015,808969
UNIT-0002366,BLDG-009510,5805,28,2,4,1478,Apartment,No Preference,False,Occupied,2019,3921611
UNIT-0002367,BLDG-010332,7810,21,2,2,1459,Penthouse,City View,False,Occupied,2023,14579901
UNIT-0002368,BLDG-001441,613,79,3,4,3311,Apartment,City View,False,Occupied,2023,10637919
UNIT-0002369,BLDG-004645,6210,58,1,3,802,Townhouse,Garden View,True,Occupied,2023,3968869
UNIT-0002370,BLDG-008855,1006,3,3,2,951,Apartment,City View,False,Vacant,2015,8471452
UNIT-0002371,BLDG-014764,2120,25,3,3,2620,Apartment,City View,False,Occupied,2015,5458268
UNIT-0002372,BLDG-012001,7508,29,3,4,3048,Apartment,City View,True,Under Renovation,2018,5342872
UNIT-0002373,BLDG-001496,4316,76,4,3,1091,Apartment,City View,False,Occupied,2016,2371045
UNIT-0002374,BLDG-006743,6413,20,2,2,3630,Townhouse,Pool View,True,Occupied,2020,3767805
UNIT-0002375,BLDG-013824,6105,42,3,1,2526,Villa,Sea View,False,Occupied,2024,7187399
UNIT-0002376,BLDG-005424,7817,15,2,3,2620,Apartment,City View,False,Occupied,2015,14281385
UNIT-0002377,BLDG-012900,2414,15,0,5,3098,Townhouse,City View,False,Vacant,2023,9620000
UNIT-0002378,BLDG-012089,5307,72,3,2,2360,Townhouse,City View,False,Occupied,2016,10509597
UNIT-0002379,BLDG-003311,2303,29,5,2,4838,Apartment,Garden View,False,Vacant,2017,12012512
UNIT-0002380,BLDG-003206,1011,5,2,3,3334,Apartment,Garden View,True,Occupied,2022,1963040
UNIT-0002381,BLDG-004294,7017,51,5,5,2603,Apartment,City View,False,Occupied,2024,3772390
UNIT-0002382,BLDG-005935,7003,16,1,2,1142,Apartment,No Preference,True,Occupied,2024,9558819
UNIT-0002383,BLDG-012179,6409,27,3,1,1865,Apartment,City View,False,Vacant,2024,6777989
UNIT-0002384,BLDG-000606,3207,66,5,4,2493,Apartment,City View,False,Occupied,2019,6676141
UNIT-0002385,BLDG-003965,4707,8,1,2,4157,Apartment,Sea View,True,Occupied,2020,717375
UNIT-0002386,BLDG-007204,3820,69,3,2,1663,Studio,City View,False,Occupied,2024,13098662
UNIT-0002387,BLDG-012728,1403,22,5,3,540,Apartment,No Preference,True,Vacant,2018,6244154
UNIT-0002388,BLDG-007993,804,43,2,4,4223,Studio,Pool View,False,Occupied,2017,14453805
UNIT-0002389,BLDG-009273,7312,40,1,4,1823,Villa,Sea View,True,Occupied,2023,13150531
UNIT-0002390,BLDG-004535,5014,17,4,3,3147,Apartment,Garden View,False,Vacant,2017,9825810
UNIT-0002391,BLDG-004240,1214,50,3,2,3706,Apartment,No Preference,True,Occupied,2022,9251653
UNIT-0002392,BLDG-009175,418,20,2,2,4863,Apartment,Garden View,False,Under Renovation,2018,4074612
UNIT-0002393,BLDG-009072,4319,72,1,2,4441,Apartment,Sea View,True,Occupied,2021,5489613
UNIT-0002394,BLDG-004973,4504,12,4,3,1465,Penthouse,Sea View,True,Occupied,2015,12391993
UNIT-0002395,BLDG-007052,7601,6,2,2,3650,Apartment,Garden View,False,Occupied,2024,8117834
UNIT-0002396,BLDG-001968,1809,72,3,1,797,Villa,City View,False,Occupied,2018,576475
UNIT-0002397,BLDG-003681,3910,36,2,4,4684,Studio,No Preference,False,Vacant,2018,3569890
UNIT-0002398,BLDG-003842,2405,5,1,2,2289,Apartment,Garden View,True,Occupied,2024,5693261
UNIT-0002399,BLDG-005237,5717,28,2,3,4185,Apartment,Garden View,True,Occupied,2017,3108434
UNIT-0002400,BLDG-009392,1101,31,3,3,4813,Apartment,City View,False,Vacant,2022,3352362
UNIT-0002401,BLDG-013368,1920,78,3,3,1638,Apartment,No Preference,False,Occupied,2015,14493606
UNIT-0002402,BLDG-002944,7013,26,1,2,4351,Apartment,Pool View,True,Vacant,2022,1541658
UNIT-0002403,BLDG-002905,2505,31,0,2,4870,Villa,Pool View,False,Under Renovation,2016,8423279
UNIT-0002404,BLDG-005605,4402,39,2,4,4466,Penthouse,No Preference,False,Occupied,2022,10946128
UNIT-0002405,BLDG-008846,4314,76,1,3,3680,Apartment,No Preference,False,Occupied,2015,8979208
UNIT-0002406,BLDG-000145,5715,69,3,3,1457,Apartment,Garden View,False,Occupied,2016,2825970
UNIT-0002407,BLDG-002610,1407,29,2,2,1872,Apartment,No Preference,False,Occupied,2016,12952609
UNIT-0002408,BLDG-002386,4405,9,1,4,4550,Villa,No Preference,True,Occupied,2020,4449097
UNIT-0002409,BLDG-008483,6402,66,1,3,2925,Townhouse,City View,False,Vacant,2019,4230633
UNIT-0002410,BLDG-001871,603,12,3,4,3305,Penthouse,Sea View,False,Occupied,2023,4720486
UNIT-0002411,BLDG-000538,2716,34,3,3,3472,Studio,Garden View,True,Vacant,2018,7040296
UNIT-0002412,BLDG-006318,4014,73,3,4,524,Villa,Sea View,False,Vacant,2020,8032422
UNIT-0002413,BLDG-007323,6320,28,1,4,1907,Apartment,Sea View,False,Occupied,2019,4423635
UNIT-0002414,BLDG-000766,4203,63,5,1,508,Apartment,City View,True,Occupied,2016,12547660
UNIT-0002415,BLDG-011269,4116,20,2,3,4090,Villa,Sea View,True,Occupied,2015,11932237
UNIT-0002416,BLDG-014364,3403,61,3,3,2591,Apartment,No Preference,True,Occupied,2022,1459609
UNIT-0002417,BLDG-006206,3409,46,5,4,2051,Apartment,Pool View,False,Occupied,2019,1092532
UNIT-0002418,BLDG-014736,1111,72,1,3,3989,Townhouse,Garden View,True,Vacant,2015,13142124
UNIT-0002419,BLDG-004351,1714,35,2,2,4852,Apartment,City View,True,Occupied,2024,14928259
UNIT-0002420,BLDG-008350,2818,40,2,3,3433,Apartment,Pool View,True,Occupied,2015,14379298
UNIT-0002421,BLDG-003958,6210,40,2,2,3129,Villa,No Preference,False,Occupied,2016,2614197
UNIT-0002422,BLDG-011906,3315,25,4,2,2100,Studio,No Preference,False,Occupied,2019,2862920
UNIT-0002423,BLDG-004808,7218,31,2,5,1535,Apartment,No Preference,True,Occupied,2017,5346318
UNIT-0002424,BLDG-012143,5411,39,4,4,427,Apartment,Pool View,False,Occupied,2019,10265472
UNIT-0002425,BLDG-002815,3819,27,3,2,2700,Villa,Garden View,True,Occupied,2021,2834701
UNIT-0002426,BLDG-001754,4002,79,1,4,4412,Townhouse,Pool View,True,Vacant,2016,7356039
UNIT-0002427,BLDG-007430,218,61,3,2,4345,Apartment,City View,True,Occupied,2024,6312406
UNIT-0002428,BLDG-001043,4720,44,2,3,2528,Apartment,Sea View,False,Occupied,2017,7591292
UNIT-0002429,BLDG-005290,2002,49,5,1,439,Apartment,Garden View,False,Occupied,2015,4331585
UNIT-0002430,BLDG-000357,518,14,2,2,4099,Apartment,City View,False,Occupied,2022,12535354
UNIT-0002431,BLDG-000512,5113,71,1,2,4143,Townhouse,City View,False,Vacant,2018,8052590
UNIT-0002432,BLDG-003940,2905,66,3,4,4743,Apartment,Garden View,False,Occupied,2018,1174473
UNIT-0002433,BLDG-010394,7904,80,3,4,3699,Apartment,City View,False,Occupied,2021,8408527
UNIT-0002434,BLDG-007511,4406,38,1,3,3365,Apartment,No Preference,False,Occupied,2024,946579
UNIT-0002435,BLDG-000435,6610,38,2,2,3714,Apartment,City View,True,Occupied,2021,13051720
UNIT-0002436,BLDG-000573,6812,62,4,2,4197,Penthouse,City View,False,Occupied,2016,7248657
UNIT-0002437,BLDG-011876,3318,42,5,3,4372,Townhouse,Pool View,True,Occupied,2015,6678991
UNIT-0002438,BLDG-002569,103,18,3,3,599,Apartment,Garden View,True,Occupied,2019,6954013
UNIT-0002439,BLDG-002283,6807,48,2,4,1937,Townhouse,Pool View,False,Occupied,2019,314830
UNIT-0002440,BLDG-012149,3811,59,2,3,499,Villa,No Preference,False,Occupied,2021,5288576
UNIT-0002441,BLDG-007850,5507,56,4,5,1118,Apartment,No Preference,True,Occupied,2021,9517645
UNIT-0002442,BLDG-011642,1408,55,2,3,3106,Apartment,City View,False,Occupied,2021,3732995
UNIT-0002443,BLDG-007656,1609,20,2,4,1159,Apartment,Sea View,False,Occupied,2018,9192238
UNIT-0002444,BLDG-010804,7212,5,1,2,1507,Apartment,No Preference,True,Occupied,2020,4968570
UNIT-0002445,BLDG-007318,1507,16,2,3,719,Townhouse,Garden View,True,Occupied,2019,10273777
UNIT-0002446,BLDG-005333,4616,12,4,4,2234,Apartment,Sea View,False,Vacant,2021,305942
UNIT-0002447,BLDG-005072,4519,23,4,4,2379,Apartment,No Preference,False,Occupied,2016,2160577
UNIT-0002448,BLDG-002896,914,67,4,2,4434,Villa,City View,False,Occupied,2015,12096231
UNIT-0002449,BLDG-013867,3619,41,3,3,1190,Penthouse,City View,False,Occupied,2015,10916884
UNIT-0002450,BLDG-011979,7904,22,2,3,4357,Penthouse,City View,False,Occupied,2024,3049705
UNIT-0002451,BLDG-013846,6902,26,2,2,484,Apartment,City View,False,Occupied,2023,9421634
UNIT-0002452,BLDG-003209,4407,75,4,3,4092,Townhouse,No Preference,True,Occupied,2018,5621011
UNIT-0002453,BLDG-013020,6515,42,1,3,3913,Apartment,No Preference,True,Vacant,2018,4384080
UNIT-0002454,BLDG-009945,4312,70,4,2,917,Studio,Garden View,False,Occupied,2021,6176584
UNIT-0002455,BLDG-011239,1612,13,2,3,2008,Apartment,City View,False,Occupied,2015,881033
UNIT-0002456,BLDG-014201,1319,45,1,2,4226,Apartment,City View,False,Occupied,2023,5679997
UNIT-0002457,BLDG-010284,4013,68,3,2,1065,Apartment,Pool View,True,Vacant,2015,10554916
